"Source","Year","Age","Count"
"20mm",1995,"adult",2
"20mm",1995,"juvenile",3699
"20mm",1995,"larval",426
"20mm",1996,"adult",12
"20mm",1996,"juvenile",5841.06545637768
"20mm",1996,"larval",11953.9345436223
"20mm",1997,"adult",8
"20mm",1997,"juvenile",9234.77333333333
"20mm",1997,"larval",7194.22666666667
"20mm",1998,"adult",1
"20mm",1998,"juvenile",16243.7666666667
"20mm",1998,"larval",8466.23333333333
"20mm",1999,"adult",12.88
"20mm",1999,"juvenile",29707.22
"20mm",1999,"larval",24175.9
"20mm",2000,"adult",14.2
"20mm",2000,"juvenile",53403.2779490286
"20mm",2000,"larval",89601.5220509714
"20mm",2001,"adult",5.88
"20mm",2001,"juvenile",18290.3388709677
"20mm",2001,"larval",46251.7811290323
"20mm",2002,"adult",4.44
"20mm",2002,"juvenile",18899.7610645284
"20mm",2002,"larval",26306.7989354716
"20mm",2003,"adult",8.98
"20mm",2003,"juvenile",7249.78850241546
"20mm",2003,"larval",12146.2314975845
"20mm",2004,"adult",5
"20mm",2004,"juvenile",3127.79346938776
"20mm",2004,"larval",7180.20653061224
"20mm",2005,"adult",3
"20mm",2005,"juvenile",1854.5
"20mm",2005,"larval",5624.5
"20mm",2006,"adult",4.84
"20mm",2006,"juvenile",7305.54
"20mm",2006,"larval",7200.62
"20mm",2007,"adult",1
"20mm",2007,"juvenile",816.4
"20mm",2007,"larval",2085.6
"20mm",2008,"juvenile",8965.30595396053
"20mm",2008,"larval",10930.6940460395
"20mm",2009,"juvenile",2120
"20mm",2009,"larval",11457
"20mm",2010,"adult",1
"20mm",2010,"juvenile",4901.40862745098
"20mm",2010,"larval",12251.591372549
"20mm",2011,"juvenile",4603.68
"20mm",2011,"larval",11209.32
"20mm",2012,"juvenile",1258.2
"20mm",2012,"larval",2284.8
"20mm",2013,"adult",1
"20mm",2013,"juvenile",19074.78
"20mm",2013,"larval",23504.22
"20mm",2014,"juvenile",1099.26
"20mm",2014,"larval",839.74
"20mm",2015,"juvenile",223
"20mm",2015,"larval",228
"20mm",2016,"juvenile",604.24
"20mm",2016,"larval",508.76
"20mm",2017,"juvenile",1689.48
"20mm",2017,"larval",2447.52
"20mm",2018,"juvenile",1048.28
"20mm",2018,"larval",2328.72
"20mm",2019,"juvenile",4038.75346938776
"20mm",2019,"larval",4944.24653061224
"20mm",2020,"juvenile",916
"20mm",2020,"larval",318
"20mm",2020,NA,1
"20mm",2021,"juvenile",4807.5
"20mm",2021,"larval",3248.5
"20mm",2022,"adult",3
"20mm",2022,"juvenile",10381.1
"20mm",2022,"larval",2787.9
"Bay Study",1980,"adult",156.885675764834
"Bay Study",1980,"juvenile",18376.0252153243
