"FishSampleID","GearID","SampleCode","FishCode","Catch"
1,13941,1,64,1
2,21878,1,66,1
3,7015,1,8,2
4,15086,1,8,1
5,22998,1,8,3
6,7209,1,8,7
7,7209,1,9,2
8,7209,1,26,1
9,23187,1,8,2
10,23187,1,9,1
11,15467,1,49,1
12,7594,1,28,1
13,15850,1,8,12
14,23750,1,8,4
15,23750,1,26,1
16,23750,1,64,1
17,6042,1,49,10
18,14137,1,49,6
19,14896,1,8,1
20,2329,1,28,1
21,10466,1,0,1
22,3661,1,49,1
23,3849,1,10,1
24,11968,1,0,1
25,19939,1,10,1
26,19939,1,22,1
27,19939,1,28,1
28,19939,1,49,2
29,4232,1,0,1
30,12348,1,0,6
31,12348,1,10,1
32,12348,1,22,1
33,12348,1,49,1
34,12348,1,67,1
35,20313,1,0,4
36,20313,1,22,1
37,20313,1,49,2
38,20313,1,64,1
39,5648,1,49,1
40,13748,1,10,1
41,1208,1,2,3
42,1208,1,10,111
43,1208,1,14,1
44,1208,1,20,2
45,1208,1,48,2
46,1208,1,99,1
47,9360,1,2,13
48,9360,1,10,63
49,9360,1,13,1
50,9360,1,14,2
51,9360,1,20,1
52,9360,1,48,4
53,9360,1,51,1
54,17378,1,2,3
55,17378,1,10,91
56,17378,1,14,7
57,17378,1,20,5
58,17378,1,48,2
59,17378,1,51,2
60,17378,1,66,1
61,17378,1,70,1
62,1576,1,0,3
63,1576,1,2,13
64,1576,1,10,137
65,1576,1,49,1
66,1576,1,52,1
67,9724,1,2,22
68,9724,1,10,192
69,9724,1,20,2
70,9724,1,49,1
71,9724,1,66,1
72,17738,1,2,30
73,17738,1,10,282
74,17738,1,49,1
75,17738,1,52,1
76,2708,1,3,1
77,10840,1,3,3
78,2900,1,3,3
79,2900,1,10,4
80,2900,1,20,4
81,2900,1,64,1
82,11030,1,0,1
83,11030,1,2,6
84,11030,1,10,35
85,11030,1,49,1
86,19020,1,2,2
87,19020,1,3,1
88,19020,1,10,25
89,3094,1,10,21
90,3094,1,20,8
91,11221,1,2,1
92,11221,1,3,1
93,11221,1,10,26
94,11221,1,20,3
95,11221,1,49,10
96,11221,1,70,2
97,19206,1,10,17
98,19206,1,20,6
99,3284,1,10,3
100,3284,1,20,1
101,3284,1,66,2
102,11410,1,10,2
103,11410,1,20,6
104,11410,1,49,1
105,19393,1,8,1
106,19393,1,10,5
107,19393,1,20,1
108,19393,1,66,1
109,3472,1,0,1
110,3472,1,10,1
111,11597,1,0,1
112,11597,1,10,2
113,11597,1,66,1
114,19576,1,10,1
115,19576,1,20,1
116,19576,1,49,2
117,1,1,0,1
118,1,1,2,116
119,1,1,10,65
120,1,1,14,10
121,1,1,19,1
122,1,1,48,2
123,1,1,49,3
124,1,1,51,1
125,1,1,52,6
126,8176,1,2,70
127,8176,1,10,48
128,8176,1,14,13
129,8176,1,15,1
130,8176,1,19,1
131,8176,1,52,4
132,16225,1,2,56
133,16225,1,10,71
134,16225,1,14,13
135,16225,1,15,1
136,16225,1,52,3
137,226,1,2,64
138,226,1,10,56
139,226,1,14,4
140,226,1,20,2
141,226,1,49,10
142,226,1,52,11
143,8399,1,2,98
144,8399,1,10,114
145,8399,1,13,1
146,8399,1,14,2
147,8399,1,49,6
148,8399,1,52,8
149,16437,1,2,263
150,16437,1,10,56
151,16437,1,13,1
152,16437,1,14,1
153,16437,1,20,1
154,16437,1,49,8
155,16437,1,52,30
156,16437,1,69,1
157,1390,1,2,41
158,1390,1,10,142
159,1390,1,15,1
160,1390,1,20,7
161,1390,1,49,1
162,1390,1,99,1
163,9540,1,2,24
164,9540,1,3,1
165,9540,1,10,38
166,9540,1,49,2
167,9540,1,99,1
168,17556,1,2,21
169,17556,1,10,32
170,17556,1,49,1
171,1764,1,10,3
172,9910,1,2,1
173,9910,1,10,9
174,9910,1,99,1
175,17919,1,0,1
176,17919,1,10,3
177,1947,1,10,2
178,10091,1,10,13
179,10091,1,20,2
180,18098,1,3,2
181,18098,1,10,6
182,2137,1,20,1
183,2137,1,66,1
184,10277,1,10,1
185,18280,1,10,2
186,10655,1,10,2
187,18653,1,10,1
