"GearID","TowID","GearCode","MeterSerial","MeterStart","MeterEnd","MeterCheck","Comments"
3956,12517,2,12441,481974,507634,25660,NA
3957,12636,2,21920,697286,718516,21230,NA
3958,12772,2,21920,276565,298165,21600,NA
3959,12895,2,21920,33360,55889,22529,NA
3960,13011,2,14958,397556,424230,26674,NA
3961,13076,2,21920,832183,855121,22938,NA
3962,13156,2,21901,224455,247000,22545,NA
3963,13303,2,21901,319437,342516,23079,NA
3964,13434,2,14979,650035,672906,22871,NA
3965,13625,2,14977,812230,835435,23205,NA
3966,13755,2,14979,162027,185589,23562,NA
3967,13783,2,14979,869414,892362,22948,NA
3968,13959,2,14979,832473,859755,27282,NA
3969,14043,2,14979,820992,846448,25456,NA
3970,14194,2,14979,912434,938126,25692,NA
3971,14333,2,23286,665016,688787,23771,NA
3972,14489,2,21920,63679,86009,22330,NA
3973,14639,2,23286,41807,68529,26722,NA
3974,14656,2,23286,722855,754079,31224,NA
3975,14786,2,23286,716160,741548,25388,NA
3976,14912,2,23286,382016,409834,27818,NA
3977,15158,2,21920,882846,905070,22224,NA
3978,15189,2,20780,75814,99700,23886,NA
3979,15451,2,21920,265996,290167,24171,NA
3980,15580,2,23811,739454,763251,23797,NA
3981,15735,2,22084,754338,778989,24651,NA
3982,15869,2,23749,383162,407165,24003,NA
3983,15923,2,23813,658932,682272,23340,NA
3984,16148,2,23749,778917,801700,22783,NA
3985,16289,2,23749,172745,200589,27844,NA
3986,16431,2,23813,624352,647521,23169,NA
3987,16530,2,23813,361661,386036,24375,NA
3988,16604,2,23813,43506,68027,24521,NA
3989,16740,2,24584,237555,262525,24970,NA
3990,16833,2,24596,920690,942637,21947,NA
3991,16964,2,24596,436582,458814,22232,NA
3992,17093,2,24596,903033,926138,23105,NA
3993,17247,2,24596,920518,944018,23500,NA
3994,17463,2,24584,27151,51664,24513,NA
3995,17601,2,24584,490725,514474,23749,NA
3996,17742,2,24584,163559,188401,24842,NA
3997,17885,2,24584,811715,836139,24424,NA
3998,18016,2,24648,203718,227945,24227,NA
3999,18109,2,24653,654519,676317,21798,NA
4000,18306,2,24653,286656,310303,23647,NA
4001,18448,2,24653,782378,805406,23028,NA
4002,18589,2,24653,418628,441729,23101,NA
4003,18714,2,24653,981699,6292,24593,NA
4004,18810,2,24653,760122,784319,24197,NA
4005,19012,2,24653,503767,526882,23115,NA
4006,19154,2,24653,31934,55020,23086,NA
4007,19239,2,23811,171053,193395,22342,NA
4008,19380,2,23811,675779,697051,21272,NA
4009,19571,2,23811,268602,288059,19457,NA
4010,19710,2,23811,186257,208277,22020,NA
4011,19851,2,23811,254572,276204,21632,NA
4012,19986,2,23811,829578,852199,22621,NA
4013,20130,2,23811,612169,635351,23182,NA
4014,20272,2,23811,410917,433850,22933,NA
4015,20361,2,24579,641875,667169,25294,NA
4016,20541,2,23811,473101,495534,22433,NA
4017,20673,2,24565,2110,24635,22525,NA
4018,20812,2,24565,474140,497306,23166,NA
4019,20953,2,24565,386121,406783,20662,NA
4020,21095,2,24565,901604,923869,22265,NA
4021,21196,2,24663,69396,92316,22920,NA
4022,21375,2,24565,98632,119511,20879,NA
4023,21518,2,24565,130134,151894,21760,NA
4024,21659,2,24565,522393,543937,21544,NA
4025,21679,2,24565,939460,964303,24843,NA
4026,21842,2,23813,54849,81258,26409,NA
4027,21926,2,23813,899361,923264,23903,NA
4028,22036,2,23813,308450,332948,24498,NA
4029,22177,2,23813,156727,182610,25883,NA
4030,22319,2,23813,931321,956964,25643,NA
4031,22460,2,23813,801181,824960,23779,NA
4032,22599,2,23813,701167,726102,24935,NA
4033,22747,2,24567,100332,127322,26990,NA
4034,22871,2,23813,262859,289300,26441,NA
4035,23000,2,23813,671116,693018,21902,NA
4036,23143,2,23813,488075,511436,23361,NA
4037,23278,2,23813,314388,337967,23579,NA
4038,23419,2,23813,169645,192828,23183,NA
4039,23560,2,23813,949028,971685,22657,NA
4040,23709,2,23813,762995,787584,24589,NA
4041,23847,2,23814,964928,989221,24293,NA
4042,24049,2,23813,573088,598017,24929,NA
4043,25,2,10369,912993,935307,22314,NA
4044,129,2,10369,178506,199332,20826,NA
4045,264,2,10369,636530,662976,26446,NA
4046,336,2,10369,10454,33364,22910,NA
4047,460,2,10369,299103,321806,22703,NA
4048,541,2,10369,148609,170322,21713,NA
4049,729,2,11732,831384,855048,23664,NA
4050,844,2,11732,435771,458925,23154,NA
4051,885,2,13287,161003,182072,21069,NA
4052,1007,2,13287,818427,838144,19717,NA
4053,1136,2,13287,587424,609339,21915,NA
4054,1265,2,13287,321049,341480,20431,NA
4055,1380,2,13287,717052,738733,21681,NA
4056,1529,2,13287,144146,168911,24765,NA
4057,1639,2,13287,50817,73825,23008,NA
4058,1752,2,13287,717291,741257,23966,NA
4059,1901,2,13327,771516,789539,18023,NA
4060,2126,2,13327,211945,233573,21628,NA
4061,2246,2,13327,737024,757687,20663,NA
4062,2322,2,13327,798617,818959,20342,NA
4063,2435,2,13327,365634,386232,20598,NA
4064,2565,2,13327,63620,84039,20419,NA
4065,2681,2,13327,638463,659112,20649,NA
4066,2957,2,14958,238109,258025,19916,NA
4067,3064,2,14958,378157,396665,18508,NA
4068,3180,2,14958,660631,682800,22169,NA
4069,3299,2,14958,857842,870912,13070,NA
4070,3401,2,14958,14040,36517,22477,NA
4071,3550,2,13327,47543,71782,24239,NA
4072,3634,2,13327,598018,620242,22224,NA
4073,3745,2,14977,978158,999071,20913,NA
4074,3873,2,14977,520566,542340,21774,NA
4075,4006,2,6150,771950,792538,20588,NA
4076,4188,2,6150,913422,934075,20653,NA
4077,4323,2,6150,967476,989481,22005,NA
4078,4462,2,6150,939345,959796,20451,NA
4079,4609,2,6150,414744,435675,20931,NA
4080,4697,2,14982,852649,871135,18486,NA
4081,4818,2,14982,363131,383479,20348,NA
4082,4933,2,14982,361609,379954,18345,NA
4083,5066,2,14982,997871,21020,23149,NA
4084,5151,2,14982,959140,981948,22808,NA
4085,5209,2,14982,451603,474291,22688,NA
4086,5351,2,14982,806314,827599,21285,NA
4087,5396,2,14982,539710,559861,20151,NA
4088,5525,2,14979,658564,682844,24280,NA
4089,5584,2,14979,380409,403927,23518,NA
4090,5731,2,14979,112710,134262,21552,NA
4091,5825,2,14979,535102,557827,22725,NA
4092,5945,2,12945,605799,628299,22500,NA
4093,6207,2,12945,215732,238591,22859,NA
4094,6342,2,12945,875945,898670,22725,NA
4095,6451,2,12945,498495,519676,21181,NA
4096,6576,2,12945,50996,73269,22273,NA
4097,6702,2,12945,884061,905600,21539,NA
4098,6849,2,13291,261692,282866,21174,NA
4099,6957,2,9794,661351,679838,18487,NA
4100,7081,2,9794,167370,187699,20329,NA
4101,7203,2,9794,872605,893648,21043,NA
4102,7333,2,9794,800620,821892,21272,NA
4103,7450,2,9794,229384,250812,21428,NA
4104,7574,2,9794,978210,998689,20479,NA
4105,7694,2,9794,475440,496734,21294,NA
4106,7790,2,12204,518231,540857,22626,NA
4107,7906,2,12441,71616,99651,28035,NA
4108,8028,2,12441,679941,701427,21486,NA
4109,8144,2,12441,594427,617427,23000,NA
4110,8270,2,12441,369715,390696,20981,NA
4111,8393,2,12441,942317,962111,19794,NA
4112,8516,2,14982,356300,378497,22197,NA
4113,8638,2,14982,292190,314229,22039,NA
4114,8763,2,14982,38319,60173,21854,NA
4115,8860,2,12994,153846,176646,22800,NA
4116,8956,2,12994,371509,394965,23456,NA
4117,9087,2,12994,164334,187778,23444,NA
4118,9207,2,12994,19429,42243,22814,NA
4119,9322,2,12994,882905,905431,22526,NA
4120,9464,2,12994,610282,635564,25282,NA
4121,9540,2,16976,184428,205639,21211,NA
4122,9666,2,16976,827430,849190,21760,NA
4123,9780,2,14979,799554,821747,22193,NA
4124,9901,2,14979,691037,715373,24336,NA
4125,10024,2,14979,710826,733915,23089,NA
4126,10146,2,14979,588985,615881,26896,NA
4127,10307,2,12994,215574,239758,24184,NA
4128,10396,2,12994,819234,839484,20250,NA
4129,10515,2,14958,667023,690594,23571,NA
4130,10637,2,14958,506911,530191,23280,NA
4131,10751,2,14982,859539,882391,22852,NA
4132,10876,2,14977,145459,164557,19098,NA
4133,10985,2,14977,696443,716604,20161,NA
4134,11097,2,14977,95286,115683,20397,NA
4135,11268,2,14977,300512,319977,19465,NA
4136,11380,2,14977,263081,284317,21236,NA
4137,11512,2,14977,26350,48559,22209,NA
4138,11661,2,19296,204106,226201,22095,NA
4139,11772,2,19296,253195,275588,22393,NA
4140,11912,2,19296,311381,333530,22149,NA
4141,12072,2,12441,785813,808206,22393,NA
4142,12138,2,12441,978225,529,22304,NA
4143,12266,2,12441,815001,837993,22992,NA
4144,12382,2,12441,930118,951572,21454,NA
4145,12563,2,12441,482049,504250,22201,NA
4146,12639,2,21920,567603,588729,21126,NA
4147,12736,2,21920,936197,957853,21656,NA
4148,12859,2,21920,876381,898967,22586,NA
4149,13014,2,14958,246421,272361,25940,NA
4150,13077,2,21920,785070,809275,24205,NA
4151,13159,2,21920,18373,41275,22902,NA
4152,13308,2,21920,213199,235949,22750,NA
4153,13435,2,21920,422972,452719,29747,NA
4154,13543,2,14979,905325,925487,20162,NA
4155,13715,2,14977,843603,866617,23014,NA
4156,13786,2,14979,518015,541382,23367,NA
4157,13963,2,14979,682399,705176,22777,NA
4158,14045,2,14977,131868,153363,21495,NA
4159,14197,2,14977,473684,496327,22643,NA
4160,14334,2,23286,470891,488928,18037,NA
4161,14428,2,23286,352955,375950,22995,NA
4162,14644,2,23286,182382,209459,27077,NA
4163,14659,2,23286,494653,516815,22162,NA
4164,14789,2,23286,509477,532978,23501,NA
4165,14915,2,23286,651663,676539,24876,NA
4166,15099,2,21920,547050,568364,21314,NA
4167,15304,2,23286,923302,946273,22971,NA
4168,15391,2,21920,758931,781518,22587,NA
4169,15523,2,23811,535637,558390,22753,NA
4170,15694,2,22084,543891,566413,22522,NA
4171,15810,2,23749,173211,196468,23257,NA
4172,15926,2,23749,510553,533058,22505,NA
4173,16094,2,23749,484784,506979,22195,NA
4174,16236,2,23749,983582,5957,22375,NA
4175,16374,2,23749,511488,533450,21962,NA
4176,16464,2,23813,90353,115102,24749,NA
4177,16589,2,23813,667875,689633,21758,NA
4178,16686,2,24584,2134,25274,23140,NA
4179,16836,2,24596,786983,808669,21686,NA
4180,16967,2,24596,279956,301606,21650,NA
4181,17094,2,24596,698126,720007,21881,NA
4182,17250,2,24596,716500,738635,22135,NA
4183,17409,2,24584,815709,839548,23839,NA
4184,17546,2,24584,343923,367880,23957,NA
4185,17688,2,24584,873000,896246,23246,NA
4186,17828,2,24584,592451,615077,22626,NA
4187,17970,2,24648,6125,29143,23018,NA
4188,18112,2,24653,513981,537369,23388,NA
4189,18253,2,24653,12287,33756,21469,NA
4190,18393,2,24653,639737,662703,22966,NA
