"SurveyID","SampleDate","Survey","Comments"
1,1995-04-24,1,NA
2,1995-04-25,1,NA
3,1995-04-26,1,NA
4,1995-04-27,1,NA
5,1995-04-28,1,NA
6,1995-05-08,2,NA
7,1995-05-09,2,NA
8,1995-05-10,2,NA
9,1995-05-11,2,NA
10,1995-05-12,2,NA
11,1995-05-22,3,NA
12,1995-05-23,3,NA
13,1995-05-24,3,NA
14,1995-05-25,3,NA
15,1995-05-26,3,NA
16,1995-06-05,4,NA
17,1995-06-06,4,NA
18,1995-06-07,4,NA
19,1995-06-08,4,NA
20,1995-06-09,4,NA
21,1995-06-19,5,NA
22,1995-06-20,5,NA
23,1995-06-21,5,NA
24,1995-06-22,5,NA
25,1995-06-23,5,NA
26,1995-06-24,5,NA
27,1995-07-03,6,NA
28,1995-07-04,6,NA
29,1995-07-05,6,NA
30,1995-07-06,6,NA
31,1995-07-07,6,NA
32,1995-07-10,6,NA
33,1995-07-17,7,NA
34,1995-07-18,7,NA
35,1995-07-19,7,NA
36,1995-07-20,7,NA
37,1995-07-21,7,NA
38,1995-07-24,7,NA
39,1995-07-31,8,NA
40,1995-08-01,8,NA
41,1995-08-03,8,NA
42,1995-08-04,8,NA
43,1995-08-07,8,NA
44,1995-08-08,8,NA
45,1996-04-10,1,NA
46,1996-04-11,1,NA
47,1996-04-12,1,NA
48,1996-04-13,1,NA
49,1996-04-14,1,NA
50,1996-04-16,1,NA
51,1996-04-17,1,NA
52,1996-04-24,2,NA
53,1996-04-25,2,NA
54,1996-04-26,2,NA
55,1996-04-27,2,NA
56,1996-04-28,2,NA
57,1996-04-29,2,NA
58,1996-04-30,2,NA
59,1996-05-09,3,NA
60,1996-05-10,3,NA
61,1996-05-11,3,NA
62,1996-05-12,3,NA
63,1996-05-13,3,NA
64,1996-05-14,3,NA
65,1996-05-21,4,NA
66,1996-05-22,4,NA
67,1996-05-23,4,NA
68,1996-05-24,4,NA
69,1996-05-28,4,NA
70,1996-05-29,4,NA
71,1996-06-08,5,NA
72,1996-06-09,5,NA
73,1996-06-10,5,NA
74,1996-06-11,5,NA
75,1996-06-13,5,NA
76,1996-06-14,5,NA
77,1996-06-24,6,NA
78,1996-06-25,6,NA
79,1996-06-26,6,NA
80,1996-06-27,6,NA
81,1996-06-28,6,NA
82,1996-06-29,6,NA
83,1996-07-08,7,NA
84,1996-07-09,7,NA
85,1996-07-10,7,NA
86,1996-07-11,7,NA
87,1996-07-12,7,NA
88,1996-07-13,7,NA
89,1996-07-22,8,NA
90,1996-07-23,8,NA
91,1996-07-24,8,NA
92,1996-07-25,8,NA
93,1996-07-26,8,NA
94,1996-07-27,8,NA
95,1997-03-31,1,NA
96,1997-04-01,1,NA
98,1997-04-03,1,NA
99,1997-04-04,1,NA
100,1997-04-05,1,NA
101,1997-04-14,2,NA
102,1997-04-15,2,NA
103,1997-04-16,2,NA
104,1997-04-17,2,NA
105,1997-04-18,2,NA
106,1997-04-19,2,NA
107,1997-04-28,3,NA
108,1997-04-29,3,NA
109,1997-04-30,3,NA
110,1997-05-01,3,NA
111,1997-05-02,3,NA
112,1997-05-03,3,NA
113,1997-05-12,4,NA
114,1997-05-13,4,NA
115,1997-05-14,4,NA
116,1997-05-15,4,NA
117,1997-05-16,4,NA
118,1997-05-17,4,NA
119,1997-05-27,5,NA
120,1997-05-28,5,NA
121,1997-05-30,5,NA
122,1997-05-31,5,NA
123,1997-06-01,5,NA
124,1997-06-09,6,NA
125,1997-06-10,6,NA
126,1997-06-11,6,NA
127,1997-06-12,6,NA
128,1997-06-13,6,NA
129,1997-06-14,6,NA
130,1997-06-24,7,NA
131,1997-06-25,7,NA
132,1997-06-26,7,NA
133,1997-06-27,7,NA
134,1997-06-28,7,NA
135,1997-06-29,7,NA
136,1997-07-08,8,NA
137,1997-07-09,8,NA
138,1997-07-10,8,NA
139,1997-07-11,8,NA
140,1997-07-12,8,NA
141,1997-07-13,8,NA
142,1997-07-22,9,NA
143,1997-07-23,9,NA
144,1997-07-24,9,NA
145,1997-07-25,9,NA
146,1997-07-26,9,NA
147,1998-04-06,1,NA
148,1998-04-07,1,NA
149,1998-04-08,1,NA
150,1998-04-09,1,NA
151,1998-04-10,1,NA
152,1998-04-11,1,NA
153,1998-04-21,2,NA
154,1998-04-22,2,NA
155,1998-04-23,2,NA
156,1998-04-24,2,NA
157,1998-04-25,2,NA
158,1998-05-04,3,NA
159,1998-05-05,3,NA
160,1998-05-06,3,NA
161,1998-05-07,3,NA
162,1998-05-08,3,NA
163,1998-05-09,3,NA
164,1998-05-18,4,NA
165,1998-05-19,4,NA
166,1998-05-20,4,NA
167,1998-05-21,4,NA
168,1998-05-22,4,NA
169,1998-05-23,4,NA
170,1998-06-01,5,NA
171,1998-06-02,5,NA
172,1998-06-03,5,NA
173,1998-06-04,5,NA
174,1998-06-05,5,NA
175,1998-06-06,5,NA
176,1998-06-15,6,NA
177,1998-06-16,6,NA
178,1998-06-17,6,NA
179,1998-06-18,6,NA
180,1998-06-19,6,NA
181,1998-06-20,6,NA
182,1998-06-28,7,NA
183,1998-06-29,7,NA
184,1998-06-30,7,NA
185,1998-07-01,7,NA
186,1998-07-02,7,NA
187,1998-07-03,7,NA
188,1998-07-13,8,NA
189,1998-07-14,8,NA
