"AlphaCode","DFGCode","CommonName","ScientificName","Family","PhyloOrder_Species","N or I","Range","FunctionalGroup","Comments","MidwaterTrawl","OtterTrawl","LarvalNet","BeachSeine"
"AMESHA",1001,"American Shad","Alosa sapidissima","Clupeidae",21,"I","FW","AN",,1980,1980,1982,1980
"ARCHGO",2885,"Arrow or Cheekspot Goby",,"Gobiidae",141,"N",,,"Larval fish data only",,,1981,
"ARRGOB",2882,"Arrow Goby","Clevelandia ios","Gobiidae",145,"N",,"ER",,1986,1982,1980,1980
"BARSUR",2101,"Barred Surfperch","Amphistichus argenteus","Embiotocidae",115,"N","SoCal","MMO",,1980,1980,,1980
"BATRAY",240,"Bat Ray","Myliobatis californica","Myliobatidae",14,"N",,"MMO","Myliobatididae-> Myliobatidae",1980,1980,,1982
"BAYGOB",2879,"Bay Goby","Lepidogobius lepidus","Gobiidae",148,"N",,"ER",,1980,1980,1980,1980
"BAYPIP",1582,"Bay Pipefish","Syngnathus leptorhynchus","Syngnathidae",71,"N",,"ER",,1980,1980,1980,1980
"BIGLOG",7167,"Bigscale Logperch","Percina macrolepida","Percidae",109,"I","FW","FS",,,1981,1980,1986
"BIGSKA",222,"Big Skate","Raja binoculata","Rajidae",13,"N",,"MMO",,1981,1980,,
"BLABUL",7100,"Black Bullhead","Ameiurus melas","Ictaluridae",36,"I","FW","FS",,1981,2002,,
"BLACRA",7149,"Black Crappie","Pomoxis nigromaculatus","Centrarchidae",108,"I","FW","FS",,1989,1994,,
"BLAGOB",2871,"Blackeye Goby","Rhinogobiops nicholsii","Gobiidae",149,"N","SoCal",,"Coryphopterus-> Rhinogobiops; nicholsi-> nicholsii; Larval fish data only",,,1981,
"BLAPER",2107,"Black Perch","Embiotoca jacksoni","Embiotocidae",119,"N","SoCal","MMD",,1985,1981,,1980
"BLAROC",2327,"Black Rockfish","Sebastes melanops","Scorpaenidae",74,"N",,"MS",,1988,1986,,
"BLUCAT",7105,"Blue Catfish","Ictalurus furcatus","Ictaluridae",38,"I","FW","FS",,,1997,,
"BLUEGI",7143,"Bluegill","Lepomis macrochirus","Centrarchidae",103,"I","FW","FS",,1991,1982,1982,
"BLULAN",1404,"Blue Lanternfish","Tarletonbeania crenularis","Myctophidae",55,"N",,,"Larval fish data only",,,1982,
"BLUROC",2330,"Blue Rockfish","Sebastes mystinus","Scorpaenidae",76,"N",,"MS",,,1988,,
"BOCACC",2334,"Bocaccio","Sebastes paucispinis","Scorpaenidae",77,"N",,"MS",,,2003,,
"BONSCU",2430,"Bonyhead Sculpin","Artedius notospilotus","Cottidae",85,"N",,"MS","bonehead -> bonyhead",1981,1981,1980,1980
"BROBUL",7101,"Brown Bullhead","Ameiurus nebulosus","Ictaluridae",37,"I","FW","FS",,1980,1996,,
"BROILO",2406,"Brown Irish Lord","Hemilepidotus spinosus","Cottidae",89,"N",,"MS",,,1985,1980,
"BROROC",2304,"Brown Rockfish","Sebastes auriculatus","Scorpaenidae",72,"N",,"MMD",,1983,1980,1982,1980
"BROSMO",139,"Brown Smoothhound","Mustelus henlei","Triakidae",8,"N",,"MMO","Elasmobranchiomorphi-> Chondrichthyes; Lamniformes-> Carcharhiniformes; Carcharhinidae-> Triakidae",1980,1980,,
"BROSSH",103,"Broadnose Sevengill Shark","Notorynchus cepedianus","Hexanchidae",5,"N",,"MS","Elasmobranchiomorphi-> Chondrichthyes; sevengill shark-> broadnose sevengill shark; SEVSHA -> BROSSH",1997,1988,,
"BUFSCU",2404,"Buffalo Sculpin","Enophrys bison","Cottidae",87,"N",,"MS",,,1997,,
"CABEZO",2410,"Cabezon","Scorpaenichthys marmoratus","Cottidae",93,"N",,"MS",,,2001,1980,1980
"CALGRU",2694,"California Grunion","Leuresthes tenuis","Atherinopsidae",65,"N","SoCal","MMO","Atherinidae-> Atherinopsidae",2001,,,
"CALHAL",3005,"California Halibut","Paralichthys californicus","Paralichthyidae",159,"N","SoCal","MMO","Bothidae-> Paralichthyidae",1980,1980,1980,1983
"CALLIZ",1525,"California Lizardfish","Synodus lucioceps","Synodontidae",53,"N","SoCal","MS",,1983,1983,,
"CALSUR",2102,"Calico Surfperch","Amphistichus koelzi","Embiotocidae",116,"N",,"MS",,1993,1998,,1983
"CALTON",3201,"California Tonguefish","Symphurus atricaudus","Cynoglossidae",170,"N","SoCal","MS","Soleidae-> Cynoglossidae; atricauda -> atricaudus",1983,1980,1983,
"CHACAT",7104,"Channel Catfish","Ictalurus punctatus","Ictaluridae",39,"I","FW","FS",,1992,1980,,1983
"CHAGOB",2870,"Chameleon Goby","Tridentiger trigonocephalus","Gobiidae",152,"I",,"ER",,1983,1981,1980,1984
