ScientificName,OrganismCode,IngratedDS,CommonName,NonNative,Phylum,Class,Order,Family,Genus,Species,Active
Aurelia aurita,AAURIT,Aurelia aurita,moon jelly,no,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,aurita,1
Potamocorbula amurensis,ACL,Potamocorbula amurensis,Asian clam,yes,Mollusca,Bivalvia,Myodia,Sphaeriidae,Potamocorbula,amurensis,0
Aurelia labiata,ALABIA,no ADD,Aurelia labiata,no,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,labiata,1
Anguilla rostrata,AME,Anguilla rostrata,American eel,yes,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,rostrata,0
Alosa sapidissima,AMS,Alosa sapidissima,American shad,yes,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,sapidissima,1
Clevelandia ios,ARG,Clevelandia ios,arrow goby,no,Chordata,Actinopterygii,Perciformes,Gobiidae,Clevelandia,ios,1
Micropterus NA,BAS,ADD,bass unknown,,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,NA,1
Lepidogobius lepidus,BG,Lepidogobius lepidus,bay goby,no,Chordata,Actinopterygii,Perciformes,Gobiidae,Lepidogobius,lepidus,1
Lepomis macrochirus,BGS,Lepomis macrochirus,bluegill,yes,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,macrochirus,1
Ameiurus melas,BKB,Ameiurus melas,black bullhead,yes,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,melas,1
Pomoxis nigromaculatus,BKS,Pomoxis nigromaculatus,black crappie,yes,Chordata,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,nigromaculatus,1
Ictalurus furcatus,BLC,Ictalurus furcatus,blue catfish,yes,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus,furcatus,1
Hippoglossina stomata,BMS,Hippoglossina stomata,bigmouth sole,yes,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Hippoglossina,stomata,1
Syngnathus leptorhynchus,BPF,Syngnathus leptorhynchus,bay pipefish,no,Chordata,Actinopterygii,Gasterosteiformes,Syngnathidae,Syngnathus,leptorhynchus,1
Ameiurus nebulosus,BRB,Ameiurus nebulosus,brown bullhead,yes,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,nebulosus,1
Sebastes auriculatus,BRF,Sebastes auriculatus,Brown Rockfish,,Chordata,Osteichthyes,Scopaeniformes,Scorpaenidae,Sebastes,auriculatus,1
Lucania goodei,BRFK,no ADD,Bluefin Killifish,yes,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Lucania,goodei,1
Myliobatis californica,BRY,Myliobatis californica,bat ray,no,Chordata,Chondrichthyes,Rajiformes,Mobulidae,Myliobatis,californica,1
Embiotoca jacksoni,BSFP,Embiotoca jacksoni,black perch,,Chordata,Actinopterygii,Percifomes,Embiotocidae,Embiotoca,jacksoni,1
Raja binoculata,BSK,Raja binoculata,big skate,no,Chordata,Chondrichthyes,Rajiformes,Rajidae,Raja,binoculata,0
Mustelus henlei,BSM,Mustelus henlei,brown smoothhound,no,Chordata,Chondrichthyes,Lamniformes,Carcharhinidae,Mustelus,henlei,0
Amphistichus argenteus,BSP,Amphistichus argenteus,barred surfperch,no,Chordata,Actinopterygii,Perciformes,Embiotocidae,Amphistichus,argenteus,1
Salmo trutta,BT,Salmo trutta,brown trout,yes,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,trutta,0
Isopsetta isolepis,BUT,Isopsetta isolepis,butter sole,no,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Isopsetta,isolepis,1
Blackfordia virginica,BVIRGI,no ADD,Blackfordia virginica,yes,Cnidaria,Hydrozoa,Thecatae,Blackfordiidae,Blackfordia,virginica,1
Cyprinus carpio,C,Cyprinus carpio,common carp,yes,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,carpio,1
Paralichthys californicus,CAH,Paralichthys californicus,California halibut,no,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,Paralichthys,californicus,1
Hesperoleucus symmetricus,CAR,Hesperoleucus symmetricus,California roach,no,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Hesperoleucus,symmetricus,1
