attributeName	code	definition
Method	20mm net	
Method	Beach seine	
Method	Kodiak trawl	
Method	Midwater trawl	
Method	Oblique tow	
Method	Otter trawl	
Method	STN net	
Source	20mm	
Source	Bay Study	
Source	DJFMP	
Source	EDSM	
Source	FMWT	
Source	SKT	
Source	SLS	
Source	STN	
Source	Suisun	
Tide	Ebb	
Tide	Flood	
Tide	High Slack	
Tide	Low Slack	
Tow_direction	Against current	
Tow_direction	Against Current	
Tow_direction	Downstream	
Tow_direction	Neither	
Tow_direction	Slack or cross-current	
Tow_direction	Unknown	
Tow_direction	Upstream	
Tow_direction	With current	
Tow_direction	With Current	
