name	name_type	name_resolved	authority_system	authority_id
Acanthogobius flavimanus	scientific	Acanthogobius flavimanus	ITIS	171882
Acipenser	scientific	Acipenser	ITIS	161065
Acipenser transmontanus	scientific	Acipenser transmontanus	ITIS	161068
Alosa sapidissima	scientific	Alosa sapidissima	ITIS	161702
Ameiurus catus	scientific	Ameiurus catus	ITIS	164037
Ameiurus melas	scientific	Ameiurus melas	ITIS	164039
Ameiurus nebulosus	scientific	Ameiurus nebulosus	ITIS	164043
Atheriniformes	scientific	Atheriniformes	ITIS	165429
Atherinops affinis	scientific	Atherinops affinis	ITIS	165986
Atherinopsis californiensis	scientific	Atherinopsis californiensis	ITIS	166012
Carassius auratus	scientific	Carassius auratus	ITIS	163350
Catostomus occidentalis	scientific	Catostomus occidentalis	ITIS	163908
Centrarchidae	scientific	Centrarchidae	ITIS	168093
Citharichthys stigmaeus	scientific	Citharichthys stigmaeus	ITIS	172717
Clevelandia ios	scientific	Clevelandia ios	ITIS	171748
Clupea pallasii	scientific	Clupea pallasii	ITIS	551209
Cottidae	scientific	Cottidae	ITIS	167196
Cottus asper	scientific	Cottus asper	ITIS	167233
Cymatogaster aggregata	scientific	Cymatogaster aggregata	ITIS	169739
Cyprinidae	scientific	Cyprinidae	ITIS	163342
Cyprinus carpio	scientific	Cyprinus carpio	ITIS	163344
Dorosoma petenense	scientific	Dorosoma petenense	ITIS	161738
Engraulis mordax	scientific	Engraulis mordax	ITIS	161828
Gambusia affinis	scientific	Gambusia affinis	ITIS	165878
Gasterosteus aculeatus	scientific	Gasterosteus aculeatus	ITIS	166365
Genyonemus lineatus	scientific	Genyonemus lineatus	ITIS	169257
Gillichthys mirabilis	scientific	Gillichthys mirabilis	ITIS	171967
Gobiidae	scientific	Gobiidae	ITIS	171746
Hypomesus nipponensis	scientific	Hypomesus nipponensis	ITIS	162033
Hypomesus transpacificus	scientific	Hypomesus transpacificus	ITIS	162032
Hysterocarpus traskii	scientific	Hysterocarpus traskii	ITIS	553322
Ictaluridae	scientific	Ictaluridae	ITIS	163995
Ictalurus punctatus	scientific	Ictalurus punctatus	ITIS	163998
Ilypnus gilberti	scientific	Ilypnus gilberti	ITIS	171892
Lampetra ayresii	scientific	Lampetra ayresii	ITIS	622248
Lampetra tridentata	scientific	Lampetra tridentata	ITIS	159713
Lavinia exilicauda	scientific	Lavinia exilicauda	ITIS	163569
Lepidogobius lepidus	scientific	Lepidogobius lepidus	ITIS	171762
Lepomis macrochirus	scientific	Lepomis macrochirus	ITIS	168141
Lepomis microlophus	scientific	Lepomis microlophus	ITIS	168154
Leptocottus armatus	scientific	Leptocottus armatus	ITIS	167302
Lucania parva	scientific	Lucania parva	ITIS	165679
Menidia audens	scientific	Menidia audens	ITIS	165998
Micropterus dolomieu	scientific	Micropterus dolomieu	ITIS	550562
Micropterus punctulatus	scientific	Micropterus punctulatus	ITIS	168161
Micropterus salmoides	scientific	Micropterus salmoides	ITIS	168160
Morone saxatilis	scientific	Morone saxatilis	ITIS	167680
Notemigonus crysoleucas	scientific	Notemigonus crysoleucas	ITIS	163368
Oncorhynchus tshawytscha	scientific	Oncorhynchus tshawytscha	ITIS	161980
Orthodon microlepidotus	scientific	Orthodon microlepidotus	ITIS	163589
Osmeridae	scientific	Osmeridae	ITIS	162028
Parophrys vetulus	scientific	Parophrys vetulus	ITIS	172921
Percina macrolepida	scientific	Percina macrolepida	ITIS	168487
Petromyzontiformes	scientific	Petromyzontiformes	ITIS	159696
Platichthys stellatus	scientific	Platichthys stellatus	ITIS	172893
Pogonichthys macrolepidotus	scientific	Pogonichthys macrolepidotus	ITIS	163603
Pomoxis annularis	scientific	Pomoxis annularis	ITIS	168166
Pomoxis nigromaculatus	scientific	Pomoxis nigromaculatus	ITIS	168167
Porichthys notatus	scientific	Porichthys notatus	ITIS	164414
Ptychocheilus grandis	scientific	Ptychocheilus grandis	ITIS	163524
Sebastes auriculatus	scientific	Sebastes auriculatus	ITIS	166708
Spirinchus thaleichthys	scientific	Spirinchus thaleichthys	ITIS	162049
Symphurus atricauda	scientific	Symphurus atricauda	ITIS	173077
Syngnathus leptorhynchus	scientific	Syngnathus leptorhynchus	ITIS	166462
Tridentiger	scientific	Tridentiger	ITIS	171911
Tridentiger barbatus	scientific	Tridentiger barbatus	ITIS	638138
Tridentiger bifasciatus	scientific	Tridentiger bifasciatus	ITIS	553361
Tridentiger trigonocephalus	scientific	Tridentiger trigonocephalus	ITIS	171912
UnID	scientific	UnID	NA	NA
Acipenser medirostris	scientific	Acipenser medirostris	ITIS	161067
Allosmerus elongatus	scientific	Allosmerus elongatus	ITIS	162053
Alopias vulpinus	scientific	Alopias vulpinus	ITIS	159916
Alosinae	scientific	Alosinae	ITIS	551155
Ammodytes hexapterus	scientific	Ammodytes hexapterus	ITIS	171672
Amphistichus argenteus	scientific	Amphistichus argenteus	ITIS	169758
Amphistichus koelzi	scientific	Amphistichus koelzi	ITIS	169759
Amphistichus rhodoterus	scientific	Amphistichus rhodoterus	ITIS	169757
Artedius fenestralis	scientific	Artedius fenestralis	ITIS	167212
Artedius harringtoni	scientific	Artedius harringtoni	ITIS	167213
Artedius notospilotus	scientific	Artedius notospilotus	ITIS	167215
Atractoscion nobilis	scientific	Atractoscion nobilis	ITIS	169387
Aulorhynchus flavidus	scientific	Aulorhynchus flavidus	ITIS	166404
Bathymasteridae	scientific	Bathymasteridae	ITIS	170945
Chilara taylori	scientific	Chilara taylori	ITIS	165006
Citharichthys	scientific	Citharichthys	ITIS	172715
Citharichthys sordidus	scientific	Citharichthys sordidus	ITIS	172716
Cololabis saira	scientific	Cololabis saira	ITIS	165609
Embiotoca jacksoni	scientific	Embiotoca jacksoni	ITIS	169745
Embiotoca lateralis	scientific	Embiotoca lateralis	ITIS	169744
Embiotocidae	scientific	Embiotocidae	ITIS	169735
Enophrys bison	scientific	Enophrys bison	ITIS	167267
Hemilepidotus hemilepidotus	scientific	Hemilepidotus hemilepidotus	ITIS	167279
Hemilepidotus spinosus	scientific	Hemilepidotus spinosus	ITIS	167283
Hexagrammos decagrammus	scientific	Hexagrammos decagrammus	ITIS	167110
Hyperprosopon anale	scientific	Hyperprosopon anale	ITIS	169749
Hyperprosopon argenteum	scientific	Hyperprosopon argenteum	ITIS	169747
Hyperprosopon ellipticum	scientific	Hyperprosopon ellipticum	ITIS	169748
Hypomesus pretiosus	scientific	Hypomesus pretiosus	ITIS	162030
Hypsoblennius jenkinsi	scientific	Hypsoblennius jenkinsi	ITIS	171160
Hypsurus caryi	scientific	Hypsurus caryi	ITIS	169761
Ictalurus furcatus	scientific	Ictalurus furcatus	ITIS	163997
Inopsetta ischyra	scientific	Inopsetta ischyra	ITIS	621021
Lampetra richardsoni	scientific	Lampetra richardsoni	ITIS	159707
Lepomis cyanellus	scientific	Lepomis cyanellus	ITIS	168132
Lepomis gibbosus	scientific	Lepomis gibbosus	ITIS	168144
Leuresthes tenuis	scientific	Leuresthes tenuis	ITIS	166014
Liparis	scientific	Liparis	ITIS	43620
Liparis fucensis	scientific	Liparis fucensis	ITIS	167560
Liparis pulchellus	scientific	Liparis pulchellus	ITIS	167572
