OrganismCode,CommonName,ScientificName,NonNative,Phylum,Class,Order,Family,Genus,Species,Active
AAURIT,moon jelly,Aurelia aurita,no,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,aurita,1
ACL,Asian clam,Potamocorbula amurensis,yes,Mollusca,Bivalvia,Myodia,Sphaeriidae,Potamocorbula,amurensis,0
ALABIA,Aurelia labiata,Aurelia labiata,no,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,labiata,1
AME,American eel,Anguilla rostrata,yes,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,rostrata,0
AMS,American shad,Alosa sapidissima,yes,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,sapidissima,1
ARG,arrow goby,Clevelandia ios,no,Chordata,Actinopterygii,Perciformes,Gobiidae,Clevelandia,ios,1
BAS,bass unknown,Micropterus,NA,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,NA,1
BG,bay goby,Lepidogobius lepidus,no,Chordata,Actinopterygii,Perciformes,Gobiidae,Lepidogobius,lepidus,1
BGS,bluegill,Lepomis macrochirus,yes,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,macrochirus,1
BKB,black bullhead,Ameiurus melas,yes,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,melas,1
BKS,black crappie,Pomoxis nigromaculatus,yes,Chordata,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,nigromaculatus,1
BLC,blue catfish,Ictalurus furcatus,yes,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ictalurus,furcatus,1
BMS,bigmouth sole,Hippoglossina stomata,yes,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Hippoglossina,stomata,1
BPF,bay pipefish,Syngnathus leptorhynchus,no,Chordata,Actinopterygii,Gasterosteiformes,Syngnathidae,Syngnathus,leptorhynchus,1
BRB,brown bullhead,Ameiurus nebulosus,yes,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,nebulosus,1
BRF,Brown Rockfish,Sebastes auriculatus,NA,Chordata,Osteichthyes,Scopaeniformes,Scorpaenidae,Sebastes,auriculatus,1
BRFK,Bluefin Killifish,Lucania goodei,yes,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Lucania,goodei,1
BRY,bat ray,Myliobatis californica,no,Chordata,Chondrichthyes,Rajiformes,Mobulidae,Myliobatis,californica,1
BSFP,black perch,Embiotoca jacksoni,NA,Chordata,Actinopterygii,Percifomes,Embiotocidae,Embiotoca,jacksoni,1
BSK,big skate,Raja binoculata,no,Chordata,Chondrichthyes,Rajiformes,Rajidae,Raja,binoculata,0
BSM,brown smoothhound,Mustelus henlei,no,Chordata,Chondrichthyes,Lamniformes,Carcharhinidae,Mustelus,henlei,0
BSP,barred surfperch,Amphistichus argenteus,no,Chordata,Actinopterygii,Perciformes,Embiotocidae,Amphistichus,argenteus,1
BT,brown trout,Salmo trutta,yes,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,trutta,0
BUT,butter sole,Isopsetta isolepis,no,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Isopsetta,isolepis,1
BVIRGI,Blackfordia virginica,Blackfordia virginica,yes,Cnidaria,Hydrozoa,Thecatae,Blackfordiidae,Blackfordia,virginica,1
C,common carp,Cyprinus carpio,yes,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,carpio,1
