Station,DD_Longitude,DD_Latitude
72,-121.58057,38.18775
73,-121.53937,38.27433
305,-122.4086,37.9987
306,-122.41488,38.00042
307,-122.4192,38.00472
308,-122.40438,38.01745
309,-122.39387,38.01442
310,-122.37355,38.0297
311,-122.37743,38.02087
314,-122.41167,38.02812
315,-122.3936,38.03815
321,-122.36103,38.03612
322,-122.35078,38.02363
323,-122.32817,38.02853
325,-122.2955,38.05605
326,-122.29592,38.04038
327,-122.36672,38.04772
328,-122.34842,38.06005
329,-122.30588,38.06312
334,-122.33933,38.07553
335,-122.3243,38.0705
336,-122.27875,38.06275
337,-122.27232,38.0595
338,-122.24892,38.06003
339,-122.2568,38.0667
340,-122.26988,38.10508
341,-122.2802,38.12828
401,-122.21245,38.05758
403,-122.17192,38.04883
404,-122.17887,38.04645
405,-122.15815,38.03353
406,-122.15057,38.028
407,-122.14515,38.03298
408,-122.12897,38.03513
409,-122.10637,38.04455
410,-122.09647,38.04883
411,-122.06828,38.06117
412,-122.06007,38.06462
413,-122.0473,38.06595
414,-122.11128,38.05213
415,-122.10772,38.05678
416,-122.09415,38.0702
417,-122.083,38.08075
418,-122.06973,38.09383
501,-122.01955,38.06167
502,-122.00397,38.05997
503,-121.9832,38.06022
504,-121.9767,38.05945
505,-121.95597,38.05713
507,-121.939,38.05228
508,-121.91492,38.04813
509,-121.90412,38.04547
510,-121.88783,38.04888
511,-121.88,38.0513
512,-121.87722,38.05638
513,-121.86842,38.0592
515,-122.01472,38.092
516,-121.99408,38.07867
517,-121.97938,38.07022
518,-121.96802,38.06875
519,-121.94725,38.07378
601,-122.0356,38.1031
602,-122.04183,38.11783
603,-122.04805,38.11552
604,-122.05717,38.12163
605,-122.05738,38.14853
606,-122.02177,38.1698
608,-121.88332,38.0887
701,-121.83475,38.06505
703,-121.79692,38.06087
704,-121.77892,38.07087
705,-121.7618,38.07925
706,-121.74,38.0903
707,-121.70797,38.11397
708,-121.6967,38.12608
709,-121.69048,38.14787
710,-121.68228,38.162
711,-121.67028,38.17595
712,-121.64095,38.19042
713,-121.66008,38.20712
715,-121.67362,38.22295
716,-121.68438,38.23787
717,-121.63138,38.17017
719,-121.64733,38.33428
723,-121.67348,38.23615
724,-121.55878,38.23578
735,-121.56968,38.33343
736,-121.5214,38.36737
795,-121.58468,38.5377
796,-121.5844,38.47387
797,-121.6156,38.40462
721,-121.70277,38.26815
802,-121.83875,38.03528
804,-121.79868,38.02308
806,-121.7617,38.02872
807,-121.73203,38.02995
808,-121.71942,38.03337
809,-121.69305,38.0512
810,-121.67622,38.07083
811,-121.66487,38.09742
812,-121.64883,38.08792
813,-121.62767,38.09978
814,-121.6022,38.10128
815,-121.57587,38.0913
902,-121.58255,38.0205
903,-121.56747,38.10628
904,-121.56847,38.07828
905,-121.55573,38.05953
906,-121.51653,38.05412
908,-121.5298,38.04308
909,-121.46705,38.02442
910,-121.45037,38.00228
911,-121.40875,37.99247
912,-121.37172,37.96883
913,-121.53705,37.97012
914,-121.53475,37.94662
915,-121.55908,37.949
919,-121.49525,38.10572
920,-121.50475,38.14138
921,-121.49303,38.16513
922,-121.4789,38.20438
923,-121.56625,38.13445
70,-121.51994,38.23331
71,-121.51056,38.24714
101,-122.3125,37.67917
102,-122.31306,37.69361
103,-122.25972,37.59028
104,-122.28472,37.60556
105,-122.30111,37.62444
106,-122.31389,37.64583
107,-122.32611,37.66806
108,-122.33889,37.69167
109,-122.33944,37.71167
110,-122.34528,37.73333
111,-122.35083,37.75417
112,-122.36111,37.78583
113,-122.35833,37.67917
201,-122.42139,37.81861
202,-122.44722,37.84722
203,-122.46972,37.85778
204,-122.39639,37.83417
205,-122.35833,37.82778
206,-122.34111,37.84389
207,-122.345,37.87
208,-122.39861,37.86528
209,-122.42222,37.88972
210,-122.44,37.92139
211,-122.44583,37.94028
301,-122.41197,37.98031
302,-122.375,38.01389
303,-122.425,37.97219
304,-122.436,37.99581
312,-122.432,38.01189
313,-122.449,38.02219
316,-122.427,38.06669
317,-122.449,37.99831
318,-122.431,38.05
319,-122.432,38.0775
320,-122.305,38.02361
324,-122.319,38.05281
330,-122.414,38.05189
331,-122.394,38.06531
332,-122.392,38.07331
333,-122.357,38.07311
402,-122.183,38.05561
419,-122.058,38.10419
506,-121.944,38.05281
514,-121.844,38.06389
607,-121.967,38.18381
609,,
702,-121.814,38.06111
718,,
794,-121.55618,38.56118333
799,-121.63075,38.370767
801,-121.847,38.05561
803,-121.819,38.02219
805,-121.772,38.02683
901,-121.667,38.05669
907,-121.50056,38.0625
916,-121.575,37.87919
917,-121.52331,37.87419
918,-121.56931,37.86111
924,-121.53575,38.08914
925,-121.47947,38.14039
