"Station","Latitude","Longitude"
"070","38.23331","-121.51994"
"071","38.24714","-121.51056"
"072","38.18775","-121.58057"
"073","38.27433","-121.53937"
"101","37.67917","-122.3125"
"102","37.69361","-122.31306"
"103","37.59028","-122.25972"
"104","37.60556","-122.28472"
"105","37.62444","-122.30111"
"106","37.64583","-122.31389"
"107","37.66806","-122.32611"
"108","37.69167","-122.33889"
"109","37.71167","-122.33944"
"110","37.73333","-122.34528"
"111","37.75417","-122.35083"
"112","37.78583","-122.36111"
"113","37.67917","-122.35833"
"201","37.81861","-122.42139"
"202","37.84722","-122.44722"
"203","37.85778","-122.46972"
"204","37.83417","-122.39639"
"205","37.82778","-122.35833"
"206","37.84389","-122.34111"
"207","37.87","-122.345"
"208","37.86528","-122.39861"
"209","37.88972","-122.42222"
"210","37.92139","-122.44"
"211","37.94028","-122.44583"
"301","37.98031","-122.41197"
"302","38.01389","-122.375"
"303","37.97219","-122.425"
"304","37.99581","-122.436"
"305","37.9987","-122.4086"
"306","38.00042","-122.41488"
"307","38.00472","-122.4192"
"308","38.01745","-122.40438"
"309","38.01442","-122.39387"
"310","38.0297","-122.37355"
"311","38.02087","-122.37743"
"312","38.01189","-122.432"
"313","38.02219","-122.449"
"314","38.02812","-122.41167"
"315","38.03815","-122.3936"
"316","38.06669","-122.427"
"317","37.99831","-122.449"
"318","38.05","-122.431"
"319","38.0775","-122.432"
"320","38.02361","-122.305"
"321","38.03612","-122.36103"
"322","38.02363","-122.35078"
"323","38.02853","-122.32817"
"324","38.05281","-122.319"
"325","38.05605","-122.2955"
"326","38.04038","-122.29592"
"327","38.04772","-122.36672"
"328","38.06005","-122.34842"
"329","38.06312","-122.30588"
"330","38.05189","-122.414"
"331","38.06531","-122.394"
"332","38.07331","-122.392"
"333","38.07311","-122.357"
"334","38.07553","-122.33933"
"335","38.0705","-122.3243"
"336","38.06275","-122.27875"
"337","38.0595","-122.27232"
"338","38.06003","-122.24892"
"339","38.0667","-122.2568"
"340","38.10508","-122.26988"
"341","38.12828","-122.2802"
"401","38.05758","-122.21245"
"402","38.05561","-122.183"
"403","38.04883","-122.17192"
"404","38.04645","-122.17887"
"405","38.03353","-122.15815"
"406","38.028","-122.15057"
"407","38.03298","-122.14515"
"408","38.03513","-122.12897"
"409","38.04455","-122.10637"
"410","38.04883","-122.09647"
"411","38.06117","-122.06828"
"412","38.06462","-122.06007"
"413","38.06595","-122.0473"
"414","38.05213","-122.11128"
"415","38.05678","-122.10772"
"416","38.0702","-122.09415"
"417","38.08075","-122.083"
"418","38.09383","-122.06973"
"419","38.10419","-122.058"
"501","38.06167","-122.01955"
"502","38.05997","-122.00397"
"503","38.06022","-121.9832"
"504","38.05945","-121.9767"
"505","38.05713","-121.95597"
"506","38.05281","-121.944"
"507","38.05228","-121.939"
"508","38.04813","-121.91492"
"509","38.04547","-121.90412"
"510","38.04888","-121.88783"
"511","38.0513","-121.88"
"512","38.05638","-121.87722"
"513","38.0592","-121.86842"
"514","38.06389","-121.844"
"515","38.092","-122.01472"
"516","38.07867","-121.99408"
"517","38.07022","-121.97938"
"518","38.06875","-121.96802"
"519","38.07378","-121.94725"
"601","38.1031","-122.0356"
"602","38.11783","-122.04183"
"603","38.11552","-122.04805"
"604","38.12163","-122.05717"
"605","38.14853","-122.05738"
"606","38.1698","-122.02177"
"607","38.18381","-121.967"
"608","38.0887","-121.88332"
"609","38.16771","-121.9347"
"701","38.06505","-121.83475"
"702","38.06111","-121.814"
"703","38.06087","-121.79692"
"704","38.07087","-121.77892"
"705","38.07925","-121.7618"
"706","38.0903","-121.74"
"707","38.11397","-121.70797"
"708","38.12608","-121.6967"
"709","38.14787","-121.69048"
"710","38.162","-121.68228"
"711","38.17595","-121.67028"
"712","38.19042","-121.64095"
"713","38.20712","-121.66008"
"715","38.22295","-121.67362"
"716","38.23787","-121.68438"
"717","38.17017","-121.63138"
"719","38.33428","-121.64733"
"721","38.26815","-121.70277"
"723","38.23615","-121.67348"
"724","38.23578","-121.55878"
"735","38.33343","-121.56968"
"736","38.36737","-121.5214"
"794","38.56118333","-121.55618"
"795","38.5377","-121.58468"
"796","38.47387","-121.5844"
"797","38.40462","-121.6156"
"799","38.370767","-121.63075"
"801","38.05561","-121.847"
"802","38.03528","-121.83875"
"803","38.02219","-121.819"
"804","38.02308","-121.79868"
"805","38.02683","-121.772"
"806","38.02872","-121.7617"
"807","38.02995","-121.73203"
"808","38.03337","-121.71942"
"809","38.0512","-121.69305"
"810","38.07083","-121.67622"
"811","38.09742","-121.66487"
"812","38.08792","-121.64883"
"813","38.09978","-121.62767"
"814","38.10128","-121.6022"
"815","38.0913","-121.57587"
"901","38.05669","-121.667"
"902","38.0205","-121.58255"
"903","38.10628","-121.56747"
"904","38.07828","-121.56847"
"905","38.05953","-121.55573"
"906","38.05412","-121.51653"
"907","38.0625","-121.50056"
"908","38.04308","-121.5298"
"909","38.02442","-121.46705"
"910","38.00228","-121.45037"
"911","37.99247","-121.40875"
"912","37.96883","-121.37172"
"913","37.97012","-121.53705"
"914","37.94662","-121.53475"
"915","37.949","-121.55908"
"916","37.87919","-121.575"
"917","37.87419","-121.52331"
"918","37.86111","-121.56931"
"919","38.10572","-121.49525"
"920","38.14138","-121.50475"
"921","38.16513","-121.49303"
"922","38.20438","-121.4789"
"923","38.13445","-121.56625"
"924","38.08914","-121.53575"
"925","38.14039","-121.47947"
"722","38.25502778","-121.6885833"
