"CatchRowID","SampleRowID","OrganismCode","Catch","CatchComments"
1,1,9,1,"(ad-) chinook"
2,1,20,66,
3,1,24,10,
4,1,34,1,
5,1,103,1,
6,2,9,1,"(ad-)"
7,2,19,1,
8,4,5,1,
9,4,12,10,
10,4,20,1,
11,4,24,4,
12,2,20,185,
13,2,24,11,
14,2,63,1,
15,3,9,2,"both chinook ad-clipped"
16,3,20,190,
17,3,24,3,
18,3,34,1,
19,5,12,2,
20,5,20,11,
21,5,24,2,
22,6,19,4,
23,6,20,209,
24,6,24,3,
26,7,12,85,
27,8,12,2,
28,8,19,2,
29,8,20,243,
30,9,12,6,
31,9,20,49,
32,9,24,1,
33,10,20,24,
34,10,24,1,
35,10,52,1,
36,11,12,1,
37,11,20,76,
38,12,19,3,
39,13,19,2,
40,13,20,2,
41,13,24,2,
42,14,19,8,
43,14,20,1,
44,14,24,1,
45,14,25,1,
46,15,19,1,
47,15,24,1,
48,15,25,3,
49,16,25,17,
50,17,19,1,
51,17,24,8,
52,17,25,2,
53,18,12,2,
54,18,19,17,
55,18,20,12,
56,18,24,69,"All delta smelt brought back to CDFG lab, Stockton."
57,18,25,1,
58,18,29,2,
59,18,33,1,
60,19,9,2,"Ad-clipped chinook (2)  taken back for USFWS on ice."
61,19,12,2,
62,19,20,49,
63,19,24,89," 58 of the 89 delta smelt given to Jim Hobbs (Bodega Marine Lab).  Remainder went back to CDFG, Stkn preserved in formalin.  Therefore, 1st 30 measurements are formalin-fixed lengths and the remainder are fresh lengths.  One fish lost in transport."
64,19,29,1,
65,20,9,1,"Chinook, ad+. Mortality."
66,20,12,1,
67,20,61,1,
68,20,20,37,
69,20,25,3,
70,20,29,8,
71,21,10,1,
72,21,20,4,
73,22,20,4,
74,23,9,1,"Ad-clipped Chinook salmon sent back to USFWS, Stockton, on ice."
75,23,19,1,
76,23,20,3,
77,23,25,1,
78,24,9,1,"Ad clipped chinook sent back to USFWS, Stockton (on ice)."
79,24,20,3,
80,24,24,3,
81,24,25,3,
82,24,33,1,
83,25,19,3,
84,25,20,5,
85,25,24,5,
86,25,25,6,
87,25,103,3,
88,26,20,11,
89,26,24,16,
90,26,25,1,
91,27,9,2,"131mm (ad-), back to USFWS on ice.   39mm (ad+), released."
92,27,20,1,
93,27,24,2,
94,27,25,2,
95,27,103,1,
96,28,19,2,
97,28,20,10,
98,28,24,4,
99,29,19,2,
100,29,20,6,
101,29,24,13,
102,30,12,1,
103,30,32,1,"Steelhead - adipose fin present but dorsal fin heavily eroded."
104,30,20,13,
105,30,24,2,
106,30,25,5,
107,31,12,1,
108,31,32,1,"Ad clipped steelhead."
109,31,20,10,
110,31,24,4,
111,31,25,1,
112,31,29,1,
113,31,103,12,
114,32,63,1,
115,32,103,8,
116,32,20,32,
117,32,24,7,
118,32,25,9,
119,32,33,1,
120,33,20,100,
121,33,24,1,
122,33,103,1,
123,34,9,2,"Both chinook ad+.  37mm, mortality."
124,34,20,3,
125,35,25,2,
126,36,9,1,"ad+"
127,36,12,1,
128,36,20,10,
129,36,24,32,"all delta smelt returned in formalin to CDFG, Stockton."
130,37,20,16,
131,37,24,1,"delta smelt returned in formalin to CDFG, Stockton."
132,37,12,1,
133,38,24,2,"both delta smelt returned in formalin to CDFG, Stockton."
134,38,20,26,
135,39,0,0,"No catch."
136,40,20,1,
137,41,20,53,
138,42,20,28,
139,42,12,27,
140,43,12,9,
141,43,20,40,
142,44,20,451,
143,45,20,12,
144,46,32,1,"steelhead, ad-."
145,46,20,1,
146,46,12,1,
