"LengthRowID","CatchRowID","FishID1","FishID2","ForkLength","Volume","Sex","ReproductiveStage","X2nd.Stage","AdFinPresent","ReleasedAlive"
1,1,NA,NA,125,NA,NA,NA,NA,FALSE,FALSE
2,2,NA,NA,83,NA,NA,NA,NA,FALSE,FALSE
3,2,NA,NA,84,NA,NA,NA,NA,FALSE,FALSE
4,2,NA,NA,73,NA,NA,NA,NA,FALSE,FALSE
5,2,NA,NA,84,NA,NA,NA,NA,FALSE,FALSE
6,2,NA,NA,69,NA,NA,NA,NA,FALSE,FALSE
7,2,NA,NA,75,NA,NA,NA,NA,FALSE,FALSE
8,2,NA,NA,85,NA,NA,NA,NA,FALSE,FALSE
9,2,NA,NA,89,NA,NA,NA,NA,FALSE,FALSE
10,2,NA,NA,88,NA,NA,NA,NA,FALSE,FALSE
11,2,NA,NA,59,NA,NA,NA,NA,FALSE,FALSE
12,2,NA,NA,128,NA,NA,NA,NA,FALSE,FALSE
13,2,NA,NA,90,NA,NA,NA,NA,FALSE,FALSE
14,2,NA,NA,81,NA,NA,NA,NA,FALSE,FALSE
15,2,NA,NA,78,NA,NA,NA,NA,FALSE,FALSE
16,2,NA,NA,70,NA,NA,NA,NA,FALSE,FALSE
17,2,NA,NA,62,NA,NA,NA,NA,FALSE,FALSE
18,2,NA,NA,84,NA,NA,NA,NA,FALSE,FALSE
19,2,NA,NA,77,NA,NA,NA,NA,FALSE,FALSE
20,2,NA,NA,73,NA,NA,NA,NA,FALSE,FALSE
21,2,NA,NA,73,NA,NA,NA,NA,FALSE,FALSE
22,2,NA,NA,69,NA,NA,NA,NA,FALSE,FALSE
23,2,NA,NA,80,NA,NA,NA,NA,FALSE,FALSE
24,2,NA,NA,82,NA,NA,NA,NA,FALSE,FALSE
25,2,NA,NA,67,NA,NA,NA,NA,FALSE,FALSE
26,2,NA,NA,78,NA,NA,NA,NA,FALSE,FALSE
27,2,NA,NA,88,NA,NA,NA,NA,FALSE,FALSE
28,2,NA,NA,70,NA,NA,NA,NA,FALSE,FALSE
29,2,NA,NA,68,NA,NA,NA,NA,FALSE,FALSE
30,2,NA,NA,65,NA,NA,NA,NA,FALSE,FALSE
31,2,NA,NA,56,NA,NA,NA,NA,FALSE,FALSE
32,2,NA,NA,75,NA,NA,NA,NA,FALSE,FALSE
33,2,NA,NA,80,NA,NA,NA,NA,FALSE,FALSE
34,2,NA,NA,74,NA,NA,NA,NA,FALSE,FALSE
35,2,NA,NA,80,NA,NA,NA,NA,FALSE,FALSE
36,2,NA,NA,95,NA,NA,NA,NA,FALSE,FALSE
37,2,NA,NA,68,NA,NA,NA,NA,FALSE,FALSE
38,2,NA,NA,68,NA,NA,NA,NA,FALSE,FALSE
39,2,NA,NA,71,NA,NA,NA,NA,FALSE,FALSE
40,2,NA,NA,64,NA,NA,NA,NA,FALSE,FALSE
41,2,NA,NA,63,NA,NA,NA,NA,FALSE,FALSE
42,2,NA,NA,102,NA,NA,NA,NA,FALSE,FALSE
43,2,NA,NA,75,NA,NA,NA,NA,FALSE,FALSE
44,2,NA,NA,98,NA,NA,NA,NA,FALSE,FALSE
45,2,NA,NA,74,NA,NA,NA,NA,FALSE,FALSE
46,2,NA,NA,100,NA,NA,NA,NA,FALSE,FALSE
47,2,NA,NA,79,NA,NA,NA,NA,FALSE,FALSE
48,2,NA,NA,71,NA,NA,NA,NA,FALSE,FALSE
49,2,NA,NA,72,NA,NA,NA,NA,FALSE,FALSE
50,2,NA,NA,68,NA,NA,NA,NA,FALSE,FALSE
51,2,NA,NA,78,NA,NA,NA,NA,FALSE,FALSE
52,3,NA,NA,75,NA,1,4,NA,FALSE,FALSE
53,3,NA,NA,68,NA,1,4,NA,FALSE,FALSE
54,3,NA,NA,67,NA,1,4,NA,FALSE,FALSE
55,3,NA,NA,66,NA,1,4,NA,FALSE,FALSE
56,3,NA,NA,65,NA,2,3,NA,FALSE,FALSE
57,3,NA,NA,64,NA,1,3,NA,FALSE,FALSE
58,3,NA,NA,66,NA,2,3,NA,FALSE,FALSE
59,3,NA,NA,63,NA,2,3,NA,FALSE,FALSE
60,3,NA,NA,64,NA,2,3,NA,FALSE,FALSE
61,3,NA,NA,61,NA,2,3,NA,FALSE,FALSE
62,4,NA,NA,187,NA,NA,NA,NA,FALSE,FALSE
63,6,NA,NA,161,NA,NA,NA,NA,FALSE,FALSE
64,7,NA,NA,62,NA,NA,NA,NA,FALSE,FALSE
65,8,NA,NA,280,NA,NA,NA,NA,FALSE,FALSE
67,9,NA,NA,78,NA,NA,NA,NA,FALSE,FALSE
68,9,NA,NA,77,NA,NA,NA,NA,FALSE,FALSE
69,9,NA,NA,85,NA,NA,NA,NA,FALSE,FALSE
