"Station","LatD","LatM","LatS","LonD","LonM","LonS","RKI","Location","AreaCode","Notes"
997,NA,NA,NA,NA,NA,NA,NA,"Old River near the CVP federal pumping facility",NA,"Discontinued Station.Sampled only once. Supp. Survey 12 6/1999"
998,NA,NA,NA,NA,NA,NA,NA,"Old River near the CVP federal pumping facility",NA,"Discontinued Station.Sampled only once. Supp. Survey 12 6/1999"
999,NA,NA,NA,NA,NA,NA,NA,"Old River near the CVP federal pumping facility",NA,"Discontinued Station.Sampled only once. Supp. Survey 12 6/1999"
323,38,2,53.9000015258789,122,16,58.0999984741211,"LSPE10","San Pablo Bay Rodeo Flats Opp. end of  rock wall",1,NA
328,38,3,37.0999984741211,122,21,0,"LSPD12","SP Bay-About 1900 yds NW of Ship Channel Light 11",1,"High Outflow Station only"
329,38,3,49,122,18,14.3999996185303,"LSPD16","SP Bay 800 yds N of Ship Channel Light 13",1,"High Outflow Station only"
334,38,4,35,122,20,16.7999992370605,"LSPC14","SP Bay-3000 yds N of Ship Channel Light 11",1,"High Outflow Station only"
335,38,4,16,122,19,26.3999996185303,"LSPC16","SP Bay-2700 yds NW of rock wall on flats",1,"High Outflow Station only"
336,38,3,39.9000015258789,122,16,40.7999992370605,"RSAC040","SP Bay along N side of channel E of Light 15",1,"High Outflow Station only"
340,38,5,57.4000015258789,122,15,48.4000015258789,"RNAP005","Napa River along Vallejo seawall and park",2,NA
341,38,7,38.0999984741211,122,16,43.5999984741211,"RNAP007","Napa R .6km N of Dutchman Slough",2,"Discontinued Station. Started sampling 1996 survey 2. Only sampled twice survey 2 & 3 1996."
342,38,8,45.0999984741211,122,17,6.30000019073486,"RNAP009","Napa River at South Slough",2,"Started sampling 1996 survey 2"
343,38,11,8.89999961853027,122,18,39.5,"RNAP015","Napa River at Napa Slough",2,"Started sampling 1996 survey 2"
344,38,12,44.9000015258789,122,18,25.7999992370605,"RNAP019","Napa R at Fagan Slough",2,"Started sampling 1996 survey 2"
345,38,13,54.4000015258789,122,17,33.9000015258789,"RNAP021","Napa River 1km upstrm  North confl Steamboat Sl.",2,"Started sampling 1996 survey 2"
346,38,14,27.2999992370605,122,17,7.30000019073486,"RNAP023","Napa River .7 km South of Horseshoe Bend",2,"Started sampling 1996 survey 2"
405,38,2,22.8999996185303,122,9,1.79999995231628,"RSAC054","Carquinez Strait just W of Benecia army dock",3,NA
411,38,3,4.69999980926514,122,4,59.9000015258789,"RSAC059","Suisun Bay just W of Point Edith",3,NA
418,38,3,53.2999992370605,122,5,52.0999984741211,"LSBB04","Suisun Bay near surplus ships, opposite Avon oil docks",3,NA
501,38,5,17.6000003814697,122,0,12.8999996185303,"LSBA5","Suisun Bay between Roe and Ryer Islands",6,NA
504,38,3,39.7999992370605,122,0,49.4000015258789,"RSAC068","Suisun Bay just E of Middle Point",6,NA
508,38,2,43.7999992370605,121,55,7.69999980926514,"RSAC075","Suisun Bay off Chipps Island, opposite Sacramento N Ferry Slip",6,NA
513,38,3,29.8999996185303,121,52,4.80000019073486,"RSAC079","Sacramento River between vanSickle & Winter Island at Light 34",7,NA
519,38,4,20.2999992370605,121,57,34.9000015258789,"LSBB23","Honker Bay,W end at Dolphin",6,NA
520,38,1,58.0999984741211,121,52,9.5,"SLNY1","New York Slough,W end along Pittsburg dock",7,NA
602,38,6,50.4000015258789,122,2,46.2999992370605,"LSBB11","Grizzly Bay NE of Suisun Slough at Dolphin",4,NA
606,38,10,10.1000003814697,122,1,32.4000015258789,"SLMZU06","Montezuma Slough off Joice Island at PG&E cable crossing",5,NA
609,38,10,1.89999997615814,121,56,16.7999992370605,"SLMZU16","Montezuma Slough at Nurse Slough",5,NA
610,38,7,7.69999980926514,121,53,21.1000003814697,"SLMZU25","Montezuma Slough at road from Bird's Landing",5,NA
703,38,2,31.8999996185303,121,47,42.7999992370605,"LSHL1","Sherman Lake Loop at marker",8,NA
704,38,4,9,121,46,31,"RSAC087","Sacramento River N side across from Sherman Lake",8,NA
705,38,5,13.6000003814697,121,42,33,"LHSB2","Horseshoe Bend at Decker Lodge",8,NA
706,38,5,6.69999980926514,121,45,2.5,"RSAC092","Sacramento River below S tip of Decker Island",8,NA
707,38,6,48.5999984741211,121,42,27,"RSAC096","Sacramento River at Three Mile Slough in channel from Light 19-21",8,NA
711,38,10,43.7000007629395,121,39,55.0999984741211,"RSAC104","Sacramento River at tip of Grand Island",8,NA
716,38,15,29.7999992370605,121,41,29.8999996185303,"SLCCH10","Cache Slough at Shag Slough",8,NA
801,38,2,37.2999992370605,121,50,38.4000015258789,"RSAN001","San Joaquin River -1km upstream of the mouth",7,NA
802,38,1,15,121,43,49.4000015258789,"LBGB0","Big Break",7,"Discontinued Station. Only sampled in 1995 & 1996."
804,38,1,5.5,121,47,49.2000007629395,"RSAN007","San Joaquin River SW tip of West lsland in S channel",10,NA
809,38,3,9,121,41,21.1000003814697,"RSAN018","San Joaquin River N channel opposite Jersey Point",10,NA
812,38,5,25.1000003814697,121,38,25.7999992370605,"RSAN026","San Joaquin River just west of Oulton Point",10,NA
815,38,4,48,121,34,11.3000001907349,"RSAN035","San Joaquin River at mouth of Potato Slough between Lights 49&51",10,NA
901,38,2,53.7999992370605,121,35,42.9000015258789,"LFKT1","Frank's Tract",10,NA
902,38,1,9.10000038146973,121,34,55.9000015258789,"ROLD05","Old River at mouth of Holland Cut",12,NA
906,38,3,6.09999990463257,121,30,32.4000015258789,"RSAN042","San Joaquin River at Medford Island between Lights 8 & 10.",12,NA
910,38,0,6.5,121,26,55.2999992370605,"RSAN050","San Joaquin River between Hog and Turner Cut at Light 21",12,NA
912,37,57,57.5999984741211,121,22,2.29999995231628,"RSAN058","San Joaquin River at mouth of Calaveras River, Light 41",12,NA
914,37,58,17.3999996185303,121,31,12,"RMID12","Middle River at Empire Cut, along E arm of river",12,NA
915,37,56,33,121,33,48.5999984741211,"ROLD28","Old River W arm at railroad bridge",12,NA
918,37,51,33.5,121,34,7.69999980926514,"ROLD39","Old River NW of Coney Island",12,NA
919,38,6,17.2999992370605,121,29,31.2000007629395,"SLLPT5","Little Potato Slough, 1 km E of Terminous",11,NA
330,38,3,49,122,18,14.3999996185303,NA,"Along rock wall, next to station 329",1,"Discontinued Station. Only sampled once survey 3 1995"
347,38,15,17.7000007629395,122,17,0.300000011920929,"RNAP024","Napa River next to Horseshoe Bend",2,"Discontinued Station. Only sampled once survey 8 1996 and Additional station added for the ACOE (2001 & 2002)"
348,38,16,23.1000003814697,122,17,4.69999980926514,"RNAP026","Napa River 1 km upstrm of JFK Memorial Park boat ramp",2,"Discontinued Station. Additional station added for the ACOE (2001 & 2002)"
349,38,17,10.1000003814697,122,17,0.200000002980232,"RNAP028","Napa River at Jacks Bend (Tulucay Creek)",2,"Discontinued Station. Additional station added for the ACOE (2001 & 2002)"
718,38,15,29.8999996185303,121,43,28.2000007629395,"SLLIN05","Lindsey Slough: above Hastings Island Bridge, under power lines, twin pipes north side.",8,"Started sampling 2008 Survey 1 (Old NBA Survey Station)"
720,38,15,38.5,121,46,27.1000003814697,"SLLIN10","Lindsey Slough: just past turn, small inlet on one side",8,"Started sampling 2008 Survey 1 (Old NBA Survey Station)"
723,38,14,33,121,40,11,"SHSAC03","Sac Deepwater Channel: channel markers green #51 and red #52.",8,"Started sampling 2008 Survey 1 (Old NBA Survey Station)"
724,38,14,33,121,39,34,"SLMIN02","Miner Slough: pipe on west side, palm trees above levee straight ahead.",8,"Started sampling 2008 Survey 1 (Old NBA Survey Station)"
726,38,16,9,121,38,24,"SLMIN08","Miner Slough: pipe on east side with a cement footing",8,"Started sampling 2008 Survey 1 (Old NBA Survey Station)"
719,38,19,98.5,121,39,87.6999969482422,"SHSAC12","Sac Deepwater Channel: channel markers green #59 and red #60",8,"Started sampling 2008 Survey 1 (SKT Survey Station)"
