"Station","LatD","LatM","LatS","LonD","LonM","LonS","RKI","Location","AreaCode","Notes"
997,,,,,,,,"Old River near the CVP federal pumping facility",,"Discontinued Station.Sampled only once. Supp. Survey 12 6/1999"
998,,,,,,,,"Old River near the CVP federal pumping facility",,"Discontinued Station.Sampled only once. Supp. Survey 12 6/1999"
999,,,,,,,,"Old River near the CVP federal pumping facility",,"Discontinued Station.Sampled only once. Supp. Survey 12 6/1999"
323,38,2,53.90,122,16,58.10,"LSPE10","San Pablo Bay Rodeo Flats Opp. end of  rock wall",1,
328,38,3,37.10,122,21,0.00,"LSPD12","SP Bay-About 1900 yds NW of Ship Channel Light 11",1,"High Outflow Station only"
329,38,3,49.00,122,18,14.40,"LSPD16","SP Bay 800 yds N of Ship Channel Light 13",1,"High Outflow Station only"
334,38,4,35.00,122,20,16.80,"LSPC14","SP Bay-3000 yds N of Ship Channel Light 11",1,"High Outflow Station only"
335,38,4,16.00,122,19,26.40,"LSPC16","SP Bay-2700 yds NW of rock wall on flats",1,"High Outflow Station only"
336,38,3,39.90,122,16,40.80,"RSAC040","SP Bay along N side of channel E of Light 15",1,"High Outflow Station only"
340,38,5,57.40,122,15,48.40,"RNAP005","Napa River along Vallejo seawall and park",2,
341,38,7,38.10,122,16,43.60,"RNAP007","Napa R .6km N of Dutchman Slough",2,"Discontinued Station. Started sampling 1996 survey 2. Only sampled twice survey 2 & 3 1996."
342,38,8,45.10,122,17,6.30,"RNAP009","Napa River at South Slough",2,"Started sampling 1996 survey 2"
343,38,11,8.90,122,18,39.50,"RNAP015","Napa River at Napa Slough",2,"Started sampling 1996 survey 2"
344,38,12,44.90,122,18,25.80,"RNAP019","Napa R at Fagan Slough",2,"Started sampling 1996 survey 2"
345,38,13,54.40,122,17,33.90,"RNAP021","Napa River 1km upstrm  North confl Steamboat Sl.",2,"Started sampling 1996 survey 2"
346,38,14,27.30,122,17,7.30,"RNAP023","Napa River .7 km South of Horseshoe Bend",2,"Started sampling 1996 survey 2"
405,38,2,22.90,122,9,1.80,"RSAC054","Carquinez Strait just W of Benecia army dock",3,
411,38,3,4.70,122,4,59.90,"RSAC059","Suisun Bay just W of Point Edith",3,
