"Date","Station","Tow","FishCode","Catch","X1.4.Subsampled","X1.2.Subsampled","CatchID"
2022-02-22,809,1,2,32,0,0,7857
2022-02-22,809,1,49,65,0,0,7858
2022-02-22,812,1,2,9,0,0,7856
2022-02-22,812,1,49,126,0,0,7855
2022-02-22,815,1,49,157,0,0,7854
2022-02-22,901,1,2,6,0,0,7853
2022-02-22,901,1,49,42,0,0,7852
2022-02-22,902,1,2,1,0,0,7850
2022-02-22,902,1,49,80,0,0,7851
2022-02-22,906,1,49,73,0,0,7845
2022-02-22,910,1,49,39,0,0,7843
2022-02-22,912,1,49,28,0,0,7844
2022-02-22,914,1,49,297,0,0,7846
2022-02-22,915,1,2,2,0,0,7849
2022-02-22,915,1,49,56,0,0,7848
2022-02-22,918,1,49,63,0,0,7847
2022-02-22,919,1,49,121,0,0,7842
2022-02-23,703,1,2,13,0,0,7839
2022-02-23,703,1,49,18,0,0,7840
2022-02-23,704,1,2,23,0,0,7837
2022-02-23,704,1,10,3,0,0,7838
2022-02-23,704,1,49,23,0,0,7836
2022-02-23,705,1,2,1,0,0,7833
2022-02-23,705,1,10,1,0,0,7834
2022-02-23,705,1,49,30,0,0,7835
2022-02-23,706,1,2,35,0,0,7831
2022-02-23,706,1,10,1,0,0,7832
2022-02-23,706,1,49,34,0,0,7830
2022-02-23,801,1,2,23,0,0,7820
2022-02-23,801,1,10,1,0,0,7819
2022-02-23,804,1,2,14,0,0,7821
2022-02-23,804,1,10,1,0,0,7823
2022-02-23,804,1,49,6,0,0,7822
2022-02-24,405,1,2,7,0,0,7767
2022-02-24,405,1,10,187,0,0,7765
2022-02-24,405,1,13,3,0,0,7769
2022-02-24,405,1,49,2,0,0,7766
2022-02-24,405,1,52,3,0,0,7768
2022-02-24,411,1,2,38,0,0,7770
2022-02-24,411,1,10,850,0,0,7771
2022-02-24,411,1,13,4,0,0,7775
2022-02-24,411,1,49,3,0,0,7772
2022-02-24,411,1,52,9,0,0,7773
2022-02-24,411,1,70,1,0,0,7774
2022-02-24,418,1,2,5,0,0,7778
2022-02-24,418,1,10,207,0,0,7776
2022-02-24,418,1,13,2,0,0,7779
2022-02-24,418,1,52,1,0,0,7777
2022-02-24,501,1,2,109,0,0,7783
2022-02-24,501,1,10,62,0,0,7780
2022-02-24,501,1,49,5,0,0,7782
2022-02-24,501,1,52,22,0,0,7781
2022-02-24,504,1,2,218,0,0,7786
2022-02-24,504,1,10,39,0,0,7784
2022-02-24,504,1,13,2,0,0,7789
2022-02-24,504,1,49,24,0,0,7787
2022-02-24,504,1,52,41,0,0,7785
2022-02-24,508,1,2,41,0,0,7792
2022-02-24,508,1,10,61,0,0,7790
2022-02-24,508,1,49,1,0,0,7791
2022-02-24,513,1,2,33,0,0,7795
2022-02-24,513,1,10,41,0,0,7793
2022-02-24,513,1,13,1,0,0,7797
2022-02-24,513,1,49,8,0,0,7794
2022-02-24,513,1,70,1,0,0,7796
2022-02-24,519,1,2,10,0,0,7799
2022-02-24,519,1,10,5,0,0,7798
