"StudyYear","MeterSerial","CalibrationDate","kfactor","Notes"
1994,7539,1993-10-01,0.026858,NA
1994,9794,1994-08-31,0.026974,NA
1994,9887,1994-08-31,0.025497,NA
1994,10369,1994-08-31,0.02663,NA
1994,10378,1994-08-31,0.026577,NA
1994,11228,1994-08-30,0.026947,NA
1994,11730,1993-10-01,0.026704,NA
1994,11732,1994-08-30,0.026636,NA
1994,11746,1993-09-29,0.026747,NA
1994,12207,1994-08-30,0.027137,NA
1994,12215,1994-08-30,0.027202,NA
1994,12346,1994-08-30,0.027014,NA
1995,6150,1995-01-31,0.028855,NA
1995,7563,1995-01-31,0.026815,NA
1995,9784,1995-01-31,0.026594,NA
1995,9887,1995-01-31,0.025129,NA
1995,10369,1994-08-31,0.02663,NA
1995,10373,1995-01-31,0.026658,NA
1995,11228,1994-08-30,0.026947,NA
1995,11732,1994-08-31,0.026636,NA
1995,12207,1995-01-31,0.026652,NA
1995,12215,1995-01-31,0.026984,NA
1995,12346,1995-01-31,0.027384,NA
1996,9794,1996-04-22,0.026988,NA
1996,12207,1996-01-18,0.027308,NA
1996,12215,1996-08-29,0.02694,"Average of calibration values from 1/18/96 and 8/29/96"
1996,12945,1996-08-29,0.026834,"Average of calibration values from 1/18/96 and 8/29/96"
1996,13287,1996-08-29,0.027003,"Average of calibration values from 1/18/96 and 8/29/96"
1996,13291,1996-08-29,0.026628,"Average of calibration values from 3/21/96 and 8/29/96"
1996,13297,1996-01-18,0.026908,NA
1996,13314,1996-03-21,0.026095,NA
1996,14977,1996-04-22,0.025923,NA
1996,14978,1996-04-22,0.026604,NA
1996,14979,1996-08-29,0.026985,"Average of calibration values from 4/22/96 and 8/29/96"
1996,14980,1996-04-22,0.026922,NA
1996,14982,1996-04-22,0.026838,NA
1997,12215,1996-08-29,0.02694,"Average"
1997,13287,1996-08-29,0.027003,"Average of calibration values from 1/18/96 and 8/29/96"
1997,13297,1996-01-18,0.026908,NA
1997,13314,2000-05-23,0.027015,"used 1998 calibration"
1997,13327,1996-03-21,0.026315,NA
1997,14982,1996-03-21,0.026838,"copied from 1996"
1998,6150,1997-10-03,0.0255619,NA
1998,9784,1997-10-02,0.0298871,NA
1998,12204,1997-10-03,0.028455,NA
1998,12207,1997-10-02,0.025542,NA
1998,12215,1997-10-03,0.0251519,NA
1998,12945,1997-10-02,0.0270913,NA
1998,13287,2000-02-24,0.0269526,"Average of calibration values from 8/29/96 and 2/3/00"
1998,13291,1997-10-02,0.026512,NA
1998,13314,1997-10-02,0.027015,NA
1998,13327,1998-02-02,0.02775,NA
1998,14958,1998-02-24,0.0270287,NA
1998,14979,1998-02-24,0.02905,NA
1998,14980,1997-10-02,0.0259989,NA
1998,14982,1997-10-02,0.0266586,NA
1999,6150,1999-05-25,0.025562,"1998 copied data"
1999,9794,2000-02-28,0.0273684,"used 2000 calibration"
1999,13287,2000-02-03,0.0269022,NA
1999,13297,2000-02-28,0.026908,"used 1997 calibration"
1999,13314,2000-02-28,0.027015,"used 1998 calibration"
1999,14958,1999-02-24,0.0270287,"copied from 1998"
1999,14977,2000-04-06,0.025923,"Copied from 1996"
1999,14980,1999-05-25,0.0259989,"1998 numbers"
1999,14982,1999-05-25,0.026659,"1998 calibration"
2000,6150,2000-02-01,0.0264804,NA
2000,9784,2000-02-01,0.0258847,NA
2000,9794,2000-02-01,0.0273684,NA
2000,12204,2000-02-01,0.0269834,NA
2000,12207,2000-02-01,0.026542,NA
2000,12215,2000-02-01,0.0256179,NA
2000,12423,2000-02-03,0.0259388,NA
2000,13287,2000-02-03,0.0269022,NA
2000,14958,2000-02-03,0.027884,NA
2000,14979,2000-02-03,0.0279884,NA
2000,14982,2000-02-03,0.0261806,NA
2001,6150,2001-01-18,0.0265915,NA
2001,9784,2001-01-18,0.0289884,NA
2001,9794,2001-01-18,0.0266803,NA
2001,12204,2001-01-18,0.0271058,NA
2001,12207,2001-01-18,0.0262769,NA
2001,12945,2001-01-18,0.0260117,NA
2001,13291,2000-02-03,0.0258507,"used 2000 calibration"
2001,13327,2001-01-18,0.0283886,NA
2001,14958,2001-01-18,0.0261244,NA
2001,14977,2001-01-18,0.0276912,NA
2001,14979,2001-01-18,0.0262699,NA
2001,14980,2001-01-18,0.0260976,NA
2003,14979,2001-01-18,0.0262699,"Used 2001 calibration value."
2003,14982,2003-01-18,0.0265386,"Used 2001 calibration value."
2003,19294,2003-01-28,0.0259459,NA
2004,12204,2003-08-27,0.0267394,NA
2004,12207,2003-08-28,0.0266979,NA
2004,12441,2003-08-27,0.0268853,NA
2004,12994,2003-08-28,0.0276714,NA
2004,13287,2003-08-27,0.0258656,NA
2004,13291,NA,0.0269727,"Example DELETE when ready"
2004,14958,2003-08-27,0.0262258,NA
2004,14979,2003-08-28,0.0289173,NA
2004,14982,2003-08-28,0.0283534,NA
2004,16976,2004-03-11,0.0294949,"Late entry"
2004,19294,2003-08-28,0.026166,NA
2004,19296,2003-08-28,0.0282868,NA
2004,19299,2003-08-28,0.0260194,NA
2004,19497,2003-08-28,0.0259265,NA
2005,12204,2003-08-27,0.0267394,"Used 2003 Calibration Value"
2005,12207,2003-08-28,0.0266979,"Used 2003 Calibration Value"
2005,12441,2003-08-27,0.0268853,"Used 2003 Calibration Value"
2005,12994,2005-01-27,0.0269727,NA
2005,13287,2005-01-27,0.0256605,NA
2005,14958,2003-08-27,0.0262258,"Used 2003 Calibration Value"
2005,14979,2005-01-27,0.0289173,NA
2005,14982,2005-01-27,0.025038,NA
2005,16976,2005-01-27,0.0284095,NA
2005,16979,2004-03-11,0.0294949,"Used 2004 Calibration Value"
2005,19294,2005-01-27,0.0270963,NA
2005,19296,2003-08-28,0.0282868,"Used 2003 Calibration Value"
2005,19299,2003-08-28,0.0260194,"Used 2003 Calibration Value"
2005,19497,2003-08-28,0.0259265,"Used 2003 Calibration Value"
2006,6150,NA,0.0265915,"Used 2001 Calibration Value"
2006,12204,NA,0.0267394,NA
