"Date","Station","Tow","Time","Tide","BottomDepth","CableOut","Duration","NetMeterSerial","NetMeterStart","NetMeterEnd","NetMeterCheck","CBMeterSerial","CBMeterStart","CBMeterEnd","CBMeterCheck","Comments"
2009-01-05,902,1,1899-12-30 10:12:00,"4",26,110,10,21920,103454,124337,20883,NA,NA,NA,NA,"crew: KE, KF, LD, VA"
2009-01-05,906,1,1899-12-30 14:23:00,"2",39,140,10,21920,247554,267406,19852,NA,NA,NA,NA,"crew: KE, KF, LD, VA"
2009-01-05,910,1,1899-12-30 12:49:00,"4",40,155,10,21920,188797,211813,23016,NA,NA,NA,NA,"crew: KE, KF, LD, VA.  Sample splashed when pouring into formalin jar. Less than 5% of sample."
2009-01-05,912,1,1899-12-30 13:26:00,"4",36,140,10,21920,225510,247557,22047,NA,NA,NA,NA,"crew: KE, KF, LD, VA.  Re-tow due to incorrect cable length"
2009-01-05,914,1,1899-12-30 12:08:00,"4",35,110,10,21920,167578,188797,21219,NA,NA,NA,NA,"crew: KE, KF, LD, VA.  Net will come up to 25 feet"
2009-01-05,915,1,1899-12-30 10:41:00,"4",21,90,10,21920,124337,146419,22082,NA,NA,NA,NA,"crew: KE, KF, LD, VA"
2009-01-05,918,1,1899-12-30 11:20:00,"4",25,90,10,21920,146419,167578,21159,NA,NA,NA,NA,"crew: KE, KF, LD, VA"
2009-01-05,919,1,1899-12-30 14:54:00,"2",17,75,10,21920,267406,288622,21216,NA,NA,NA,NA,"crew: KE, KF, LD, VA"
2009-01-06,703,1,1899-12-30 12:56:00,"2",10,60,10,21920,467047,487348,20301,NA,NA,NA,NA,"Crew: KF, KE, VA, CL"
2009-01-06,704,1,1899-12-30 12:40:00,"2",32,125,10,21920,449251,467047,17796,NA,NA,NA,NA,"Crew: KF, KE, VA, CL"
2009-01-06,705,1,1899-12-30 10:06:00,"4",18,75,10,21920,327408,348191,20783,NA,NA,NA,NA,"Crew: KF, KE, VA, CL"
2009-01-06,706,1,1899-12-30 12:20:00,"2",35,140,10,21920,430149,449251,19102,NA,NA,NA,NA,"Crew: KF, KE, VA, CL"
2009-01-06,707,1,1899-12-30 10:23:00,"4",34,125,10,21920,348212,367870,19658,NA,NA,NA,NA,"Crew: KF, KE, VA, CL"
2009-01-06,711,1,1899-12-30 10:50:00,"4",17,75,10,21920,367873,388016,20143,NA,NA,NA,NA,"Crew: KF, KE, CL, CA"
2009-01-06,716,1,1899-12-30 11:18:00,"4",44,155,10,21920,388061,408782,20721,NA,NA,NA,NA,"Crew: KF, KE, VA, CL"
2009-01-06,723,1,1899-12-30 11:34:00,"4",40,155,10,21920,408787,430127,21340,NA,NA,NA,NA,"Crew: KF, KE, CL, VA"
2009-01-06,812,1,1899-12-30 09:12:00,"4",21,90,10,21920,309543,327407,17864,NA,NA,NA,NA,"Crew:  KF, KE, VA, CL"
2009-01-06,815,1,1899-12-30 08:44:00,"4",13,60,10,21920,288622,309536,20914,NA,NA,NA,NA,"Crew: KF, KE, VA, CL"
2009-01-07,501,1,1899-12-30 11:09:00,"4",21,90,10,21920,594210,614300,20090,NA,NA,NA,NA,"crew: BD, VA, DG, CL"
2009-01-07,508,1,1899-12-30 10:21:00,"4",58,155,10,21920,551218,574023,22805,NA,NA,NA,NA,"crew: BD, VA, DG, CL"
2009-01-07,513,1,1899-12-30 09:53:00,"4",21,90,10,21920,531463,551218,19755,NA,NA,NA,NA,"crew: BD, VA, DG, CL"
2009-01-07,519,1,1899-12-30 10:43:00,"4",9,45,10,21920,574021,594204,20183,NA,NA,NA,NA,"crew: BD, VA, DG, CL"
2009-01-07,801,1,1899-12-30 09:21:00,"4",24,90,10,21920,510571,531443,20872,NA,NA,NA,NA,"crew: BD, VA, DG, CL"
2009-01-07,804,1,1899-12-30 08:48:00,"4",39,140,10,21920,487392,510571,23179,NA,NA,NA,NA,"crew: BD, VA, DG, CL"
2009-01-08,405,1,1899-12-30 11:21:00,"4",10,60,10,21920,714088,733437,19349,NA,NA,NA,NA,"KF, VA, CL"
2009-01-08,411,1,1899-12-30 12:00:00,"2",14,60,10,21920,734569,753040,18471,NA,NA,NA,NA,NA
2009-01-08,418,1,1899-12-30 11:00:00,"4",35,140,10,21920,694698,714067,19369,NA,NA,NA,NA,"crew: KF, VA, CL"
2009-01-08,504,1,1899-12-30 12:27:00,"2",31,125,10,21920,753281,772676,19395,NA,NA,NA,NA,"crew: KF, VA, CL"
2009-01-08,520,1,1899-12-30 12:58:00,"2",50,155,10,21920,772619,792367,19748,NA,NA,NA,NA,"crew: KF, VA, CL"
2009-01-08,602,1,1899-12-30 10:37:00,"4",10,60,10,21920,675535,694680,19145,NA,NA,NA,NA,"crew: KF, VA, CL"
2009-01-08,606,1,1899-12-30 10:11:00,"4",28,110,10,21920,654653,675535,20882,NA,NA,NA,NA,"crew: KF, VA, CL"
