"Date","Station","Tow","Time","Tide","BottomDepth","CableOut","Duration","NetMeterSerial","NetMeterStart","NetMeterEnd","NetMeterCheck","CBMeterSerial","CBMeterStart","CBMeterEnd","CBMeterCheck","Comments"
1/5/2009 0:00:00,902,1,12/30/1899 10:12:00,"4",26,110,10.00,21920,103454,124337,20883,,,,,"crew: KE, KF, LD, VA"
1/5/2009 0:00:00,906,1,12/30/1899 14:23:00,"2",39,140,10.00,21920,247554,267406,19852,,,,,"crew: KE, KF, LD, VA"
1/5/2009 0:00:00,910,1,12/30/1899 12:49:00,"4",40,155,10.00,21920,188797,211813,23016,,,,,"crew: KE, KF, LD, VA.  Sample splashed when pouring into formalin jar. Less than 5% of sample."
1/5/2009 0:00:00,912,1,12/30/1899 13:26:00,"4",36,140,10.00,21920,225510,247557,22047,,,,,"crew: KE, KF, LD, VA.  Re-tow due to incorrect cable length"
1/5/2009 0:00:00,914,1,12/30/1899 12:08:00,"4",35,110,10.00,21920,167578,188797,21219,,,,,"crew: KE, KF, LD, VA.  Net will come up to 25 feet"
1/5/2009 0:00:00,915,1,12/30/1899 10:41:00,"4",21,90,10.00,21920,124337,146419,22082,,,,,"crew: KE, KF, LD, VA"
1/5/2009 0:00:00,918,1,12/30/1899 11:20:00,"4",25,90,10.00,21920,146419,167578,21159,,,,,"crew: KE, KF, LD, VA"
1/5/2009 0:00:00,919,1,12/30/1899 14:54:00,"2",17,75,10.00,21920,267406,288622,21216,,,,,"crew: KE, KF, LD, VA"
1/6/2009 0:00:00,703,1,12/30/1899 12:56:00,"2",10,60,10.00,21920,467047,487348,20301,,,,,"Crew: KF, KE, VA, CL"
1/6/2009 0:00:00,704,1,12/30/1899 12:40:00,"2",32,125,10.00,21920,449251,467047,17796,,,,,"Crew: KF, KE, VA, CL"
1/6/2009 0:00:00,705,1,12/30/1899 10:06:00,"4",18,75,10.00,21920,327408,348191,20783,,,,,"Crew: KF, KE, VA, CL"
1/6/2009 0:00:00,706,1,12/30/1899 12:20:00,"2",35,140,10.00,21920,430149,449251,19102,,,,,"Crew: KF, KE, VA, CL"
1/6/2009 0:00:00,707,1,12/30/1899 10:23:00,"4",34,125,10.00,21920,348212,367870,19658,,,,,"Crew: KF, KE, VA, CL"
1/6/2009 0:00:00,711,1,12/30/1899 10:50:00,"4",17,75,10.00,21920,367873,388016,20143,,,,,"Crew: KF, KE, CL, CA"
1/6/2009 0:00:00,716,1,12/30/1899 11:18:00,"4",44,155,10.00,21920,388061,408782,20721,,,,,"Crew: KF, KE, VA, CL"
1/6/2009 0:00:00,723,1,12/30/1899 11:34:00,"4",40,155,10.00,21920,408787,430127,21340,,,,,"Crew: KF, KE, CL, VA"
1/6/2009 0:00:00,812,1,12/30/1899 9:12:00,"4",21,90,10.00,21920,309543,327407,17864,,,,,"Crew:  KF, KE, VA, CL"
1/6/2009 0:00:00,815,1,12/30/1899 8:44:00,"4",13,60,10.00,21920,288622,309536,20914,,,,,"Crew: KF, KE, VA, CL"
1/7/2009 0:00:00,501,1,12/30/1899 11:09:00,"4",21,90,10.00,21920,594210,614300,20090,,,,,"crew: BD, VA, DG, CL"
1/7/2009 0:00:00,508,1,12/30/1899 10:21:00,"4",58,155,10.00,21920,551218,574023,22805,,,,,"crew: BD, VA, DG, CL"
1/7/2009 0:00:00,513,1,12/30/1899 9:53:00,"4",21,90,10.00,21920,531463,551218,19755,,,,,"crew: BD, VA, DG, CL"
1/7/2009 0:00:00,519,1,12/30/1899 10:43:00,"4",9,45,10.00,21920,574021,594204,20183,,,,,"crew: BD, VA, DG, CL"
1/7/2009 0:00:00,801,1,12/30/1899 9:21:00,"4",24,90,10.00,21920,510571,531443,20872,,,,,"crew: BD, VA, DG, CL"
1/7/2009 0:00:00,804,1,12/30/1899 8:48:00,"4",39,140,10.00,21920,487392,510571,23179,,,,,"crew: BD, VA, DG, CL"
1/8/2009 0:00:00,405,1,12/30/1899 11:21:00,"4",10,60,10.00,21920,714088,733437,19349,,,,,"KF, VA, CL"
1/8/2009 0:00:00,411,1,12/30/1899 12:00:00,"2",14,60,10.00,21920,734569,753040,18471,,,,,
1/8/2009 0:00:00,418,1,12/30/1899 11:00:00,"4",35,140,10.00,21920,694698,714067,19369,,,,,"crew: KF, VA, CL"
1/8/2009 0:00:00,504,1,12/30/1899 12:27:00,"2",31,125,10.00,21920,753281,772676,19395,,,,,"crew: KF, VA, CL"
1/8/2009 0:00:00,520,1,12/30/1899 12:58:00,"2",50,155,10.00,21920,772619,792367,19748,,,,,"crew: KF, VA, CL"
1/8/2009 0:00:00,602,1,12/30/1899 10:37:00,"4",10,60,10.00,21920,675535,694680,19145,,,,,"crew: KF, VA, CL"
1/8/2009 0:00:00,606,1,12/30/1899 10:11:00,"4",28,110,10.00,21920,654653,675535,20882,,,,,"crew: KF, VA, CL"
1/8/2009 0:00:00,609,1,12/30/1899 9:41:00,"4",34,125,10.00,21920,634221,654653,20432,,,,,"crew: KF, VA, CL"
1/8/2009 0:00:00,610,1,12/30/1899 9:10:00,"4",17,75,10.00,21920,614320,634185,19865,,,,,"crew: KF, VA, CL"
1/20/2009 0:00:00,809,1,12/30/1899 8:22:00,"4",40,155,10.00,21920,792375,812648,20273,,,,,"Crew:  V. Aflentoulis, M. Silva, M. Gibson"
1/20/2009 0:00:00,901,1,12/30/1899 8:41:00,"4",10,45,10.00,21920,812725,830557,17832,,,,,"Crew VA,MS,MG"
1/20/2009 0:00:00,902,1,12/30/1899 8:59:00,"4",28,110,10.00,21920,830557,850286,19729,,,,,"Crew: V.A., M.S., M.G"
1/20/2009 0:00:00,906,1,12/30/1899 12:11:00,"4",40,155,10.00,21920,947036,965655,18619,,,,,"Crew: V.A., M.S., M.G"
1/20/2009 0:00:00,910,1,12/30/1899 11:08:00,"1",41,155,10.00,21920,905837,927481,21644,,,,,"Crew VA, MS, MG     Secchi 200+"
1/20/2009 0:00:00,912,1,12/30/1899 11:31:00,"4",41,155,10.00,21920,927481,947036,19555,,,,,"Crew: V.A., M.S., M.G   Secchi reading is 200+"
1/20/2009 0:00:00,914,1,12/30/1899 10:34:00,"4",38,140,10.00,21920,885832,905837,20005,,,,,"Crew: VA, MS, MG"
1/20/2009 0:00:00,915,1,12/30/1899 9:21:00,"4",32,125,10.00,21920,850286,867260,16974,,,,,"Crew: V.A., M.S., M.G"
1/20/2009 0:00:00,918,1,12/30/1899 9:49:00,"4",23,90,10.00,21920,867260,885832,18572,,,,,"Crew: V.A., M.S., M.G"
1/20/2009 0:00:00,919,1,12/30/1899 12:36:00,"1",27,110,10.00,21920,965655,983800,18145,,,,,"Crew: V.A., M.S., M.G"
1/21/2009 0:00:00,703,1,12/30/1899 11:32:00,"4",8,45,10.00,21920,156837,175217,18380,,,,,"Crew VA, MS, DG"
