"CatchRowID","TowRowID","OrganismCode","Catch"
1,17469,2,1
2,11635,3,5
3,7086,6,1
4,3584,0,3
5,18327,0,1
6,10396,0,12
7,15021,5,1
8,18510,0,2
9,7097,0,5
10,13782,14,2
11,10451,0,1
12,1438,97,6
13,17227,0,7
14,8696,0,31
15,1229,0,10
16,2003,28,1
17,19009,4,2
18,5519,156,1
19,5113,14,2
20,2022,3,3
21,5030,2,1
22,2615,157,5
23,10718,0,5
24,11593,0,42
25,3441,53,2
26,13438,0,2
27,9165,7,7
28,18077,14,1
29,6634,98,2
30,8423,98,3
31,16219,0,4
32,127,8,1
33,18566,0,12
34,2101,28,1
35,876,3,1
36,4593,0,10
37,5142,5,2
38,15652,3,9
39,5230,8,1
40,14135,28,1
41,11648,0,61
42,6477,157,2
43,86,8,1
44,6004,3,2
45,6297,6,2
46,9929,0,12
47,12699,14,1
48,3842,99,1
49,2939,0,9
50,16629,5,1
51,1248,53,14
52,13904,4,1
53,9522,14,1
54,2792,3,10
55,7123,2,2
56,17347,0,2
57,2923,0,50
58,14013,8,1
59,3943,2,3
60,15232,2,6
61,207,0,7
62,3800,6,4
63,11733,3,2
64,19553,2,1
65,17495,8,1
66,9224,6,69
67,19224,0,124
68,263,98,13
69,14704,3,3
70,9774,10,4
71,18001,6,4
72,17862,14,5
73,3390,50,3
74,6688,5,1
75,12618,9,38
76,10937,14,47
77,2718,0,9
78,18485,0,46
79,9167,5,3
80,5578,3,2
81,5841,0,10
82,12904,6,1
83,5916,52,1
84,16223,0,2
85,17657,53,1
86,12241,157,20
87,1857,109,14
88,12380,0,3
89,5244,3,1
90,17175,3,13
91,14602,3,6
92,7128,3,25
93,13954,28,2
94,18380,156,3
95,7328,2,1
96,19904,53,2
97,19307,0,38
98,9548,109,4
99,18519,0,78
100,1103,0,27
101,965,0,19
102,12314,1,1
103,18998,3,1
104,8212,3,2
105,19469,3,8
106,14740,0,1
107,4258,0,323
108,14032,0,6
109,9691,10,8
110,15502,0,7
111,6875,2,2
112,2733,2,3
113,9941,14,5
114,10673,5,4
115,19511,14,5
