"RowID","Study Year","Meter Serial","Calibration Date","k factor","Notes"
1,2012.00,"24652",3/22/2012 0:00:00,0.02,"First calibration"
2,2012.00,"23684",3/22/2012 0:00:00,0.02,"First calibration"
3,2012.00,"24609",3/22/2012 0:00:00,0.02,"First calibration"
4,2012.00,"22878",3/22/2012 0:00:00,0.02,"First calibration"
5,2012.00,"23326",3/22/2012 0:00:00,0.02,"Second calibration"
6,2012.00,"24595",3/22/2012 0:00:00,0.02,"First calibration"
7,2012.00,"24658",3/22/2012 0:00:00,0.02,"First calibration"
8,2012.00,"24651",3/22/2012 0:00:00,0.02,"First calibration"
9,2012.00,"24654",3/22/2012 0:00:00,0.02,"First calibration"
10,2008.00,"12994",,0.02,"Used Factory Calibration"
11,2009.00,"23326",,0.02,"Used Factory Calibration"
12,2009.00,"23306",,0.02,
13,2009.00,"22326",,0.02,
14,1996.00,"14980",4/22/1996 0:00:00,0.02,
15,1996.00,"14982",4/22/1996 0:00:00,0.02,
16,1997.00,"12215",8/29/1996 0:00:00,0.02,"Average"
17,1997.00,"13287",8/29/1996 0:00:00,0.02,"Average of calibration values from 1/18/96 and 8/29/96"
18,1997.00,"13297",1/18/1996 0:00:00,0.02,
19,1997.00,"13314",5/23/2000 0:00:00,0.02,"used 1998 calibration"
20,1997.00,"13327",3/21/1996 0:00:00,0.02,
21,1997.00,"14982",3/21/1996 0:00:00,0.02,"copied from 1996"
22,1998.00,"6150",10/3/1997 0:00:00,0.02,
23,1998.00,"9784",10/2/1997 0:00:00,0.02,
24,1998.00,"12204",10/3/1997 0:00:00,0.02,
25,1998.00,"12207",10/2/1997 0:00:00,0.02,
26,1998.00,"12215",10/3/1997 0:00:00,0.02,
27,1998.00,"12945",10/2/1997 0:00:00,0.02,
28,1998.00,"13287",2/24/2000 0:00:00,0.02,"Average of calibration values from 8/29/96 and 2/3/00"
29,1998.00,"13291",10/2/1997 0:00:00,0.02,
30,1998.00,"13314",10/2/1997 0:00:00,0.02,
31,1998.00,"13327",2/2/1998 0:00:00,0.02,
32,1998.00,"14958",2/24/1998 0:00:00,0.02,
33,1998.00,"14979",2/24/1998 0:00:00,0.02,
34,1998.00,"14980",10/2/1997 0:00:00,0.02,
35,1998.00,"14982",10/2/1997 0:00:00,0.02,
36,1999.00,"6150",5/25/1999 0:00:00,0.02,"1998 copied data"
37,1999.00,"9794",2/28/2000 0:00:00,0.02,"used 2000 calibration"
38,1999.00,"13287",2/3/2000 0:00:00,0.02,
39,1999.00,"13297",2/28/2000 0:00:00,0.02,"used 1997 calibration"
40,1999.00,"13314",2/28/2000 0:00:00,0.02,"used 1998 calibration"
41,1999.00,"14958",2/24/1999 0:00:00,0.02,"copied from 1998"
42,1999.00,"14977",4/6/2000 0:00:00,0.02,"Copied from 1996"
43,1999.00,"14980",5/25/1999 0:00:00,0.02,"1998 numbers"
44,1999.00,"14982",5/25/1999 0:00:00,0.02,"1998 calibration"
45,2000.00,"6150",2/1/2000 0:00:00,0.02,
46,2000.00,"9784",2/1/2000 0:00:00,0.02,
47,2000.00,"9794",2/1/2000 0:00:00,0.02,
48,2000.00,"12204",2/1/2000 0:00:00,0.02,
49,2000.00,"12207",2/1/2000 0:00:00,0.02,
50,2000.00,"12215",2/1/2000 0:00:00,0.02,
51,2000.00,"12423",2/3/2000 0:00:00,0.02,
52,2000.00,"13287",2/3/2000 0:00:00,0.02,
53,2000.00,"14958",2/3/2000 0:00:00,0.02,
54,2000.00,"14979",2/3/2000 0:00:00,0.02,
55,2000.00,"14982",2/3/2000 0:00:00,0.02,
56,2001.00,"6150",1/18/2001 0:00:00,0.02,
57,2001.00,"9784",1/18/2001 0:00:00,0.02,
58,2001.00,"9794",1/18/2001 0:00:00,0.02,
59,2001.00,"12204",1/18/2001 0:00:00,0.02,
60,2001.00,"12207",1/18/2001 0:00:00,0.02,
61,2001.00,"12945",1/18/2001 0:00:00,0.02,
62,2001.00,"13291",2/3/2000 0:00:00,0.02,"used 2000 calibration"
63,2001.00,"13327",1/18/2001 0:00:00,0.02,
64,2001.00,"14958",1/18/2001 0:00:00,0.02,
65,2001.00,"14977",1/18/2001 0:00:00,0.02,
66,2001.00,"14979",1/18/2001 0:00:00,0.02,
67,2001.00,"14980",1/18/2001 0:00:00,0.02,
68,2001.00,"14982",1/18/2001 0:00:00,0.02,
69,2002.00,"9794",1/28/2002 0:00:00,0.02,
70,2002.00,"12204",1/15/2002 0:00:00,0.02,
71,2002.00,"12207",1/15/2002 0:00:00,0.02,
72,2010.00,"23306",,0.02,"New meter: used factory calibration"
73,2010.00,"23936",,0.02,"New meter: used factory calibration"
74,2005.00,"12994",,0.02,"Used correction used in 2004."
75,2005.00,"13287",1/27/2005 0:00:00,0.02,
76,2005.00,"14958",8/27/2003 0:00:00,0.02,"Used 2003 Calibration Value"
77,2005.00,"14979",1/27/2005 0:00:00,0.02,
78,2005.00,"14982",1/27/2005 0:00:00,0.02,
79,2005.00,"16976",1/27/2005 0:00:00,0.02,
80,2005.00,"16979",3/11/2004 0:00:00,0.02,"Used 2004 Calibration Value"
81,2005.00,"19294",1/27/2005 0:00:00,0.02,
82,2005.00,"19296",8/28/2003 0:00:00,0.02,"Used 2003 Calibration Value"
83,2005.00,"19299",8/28/2003 0:00:00,0.02,"Used 2003 Calibration Value"
84,2005.00,"19497",8/28/2003 0:00:00,0.02,"Used 2003 Calibration Value"
85,2006.00,"14977",,0.02,
86,2007.00,"12441",2/1/2007 0:00:00,0.02,"Housing Broken(6/6/07)"
87,2007.00,"14979",2/1/2007 0:00:00,0.02,
88,2007.00,"14958",2/1/2007 0:00:00,0.02,
89,1995.00,"6150",1/31/1995 0:00:00,0.02,
90,1998.00,"6150",10/3/1997 0:00:00,0.02,
91,1999.00,"6150",5/25/1999 0:00:00,0.02,"1998 copied data"
92,2000.00,"6150",2/1/2000 0:00:00,0.02,
93,2001.00,"6150",1/18/2001 0:00:00,0.02,
94,1994.00,"7539",10/1/1993 0:00:00,0.02,
95,1995.00,"7563",1/31/1995 0:00:00,0.02,
96,1995.00,"9784",1/31/1995 0:00:00,0.02,
97,1998.00,"9784",10/2/1997 0:00:00,0.02,
98,2000.00,"9784",2/1/2000 0:00:00,0.02,
99,2001.00,"9784",1/18/2001 0:00:00,0.02,
100,1994.00,"9794",8/31/1994 0:00:00,0.02,
101,1996.00,"9794",4/22/1996 0:00:00,0.02,
102,1999.00,"9794",2/28/2000 0:00:00,0.02,"used 2000 calibration"
103,2000.00,"9794",2/1/2000 0:00:00,0.02,
104,2001.00,"9794",1/18/2001 0:00:00,0.02,
105,2002.00,"9794",1/28/2002 0:00:00,0.02,
106,1994.00,"9887",8/31/1994 0:00:00,0.02,
107,1995.00,"9887",1/31/1995 0:00:00,0.02,
108,1994.00,"10369",8/31/1994 0:00:00,0.02,
109,1995.00,"10369",8/31/1994 0:00:00,0.02,
110,1995.00,"10373",1/31/1995 0:00:00,0.02,
111,1994.00,"10378",8/31/1994 0:00:00,0.02,
112,1994.00,"11228",8/30/1994 0:00:00,0.02,
113,1995.00,"11228",8/30/1994 0:00:00,0.02,
114,1994.00,"11730",10/1/1993 0:00:00,0.02,
115,1994.00,"11732",8/30/1994 0:00:00,0.02,
116,1995.00,"11732",8/31/1994 0:00:00,0.02,
117,1994.00,"11746",9/29/1993 0:00:00,0.02,
118,1998.00,"12204",10/3/1997 0:00:00,0.02,
119,2000.00,"12204",2/1/2000 0:00:00,0.02,
120,2001.00,"12204",1/18/2001 0:00:00,0.02,
121,2002.00,"12204",1/15/2002 0:00:00,0.02,
122,2003.00,"12204",1/30/2003 0:00:00,0.02,
123,2004.00,"12204",8/27/2003 0:00:00,0.02,
124,2005.00,"12204",8/27/2003 0:00:00,0.02,"Used 2003 Caibration Value"
125,1994.00,"12207",8/30/1994 0:00:00,0.02,
126,1995.00,"12207",1/31/1995 0:00:00,0.02,
127,1996.00,"12207",1/18/1996 0:00:00,0.02,
128,1998.00,"12207",10/2/1997 0:00:00,0.02,
129,2000.00,"12207",2/1/2000 0:00:00,0.02,
130,2001.00,"12207",1/18/2001 0:00:00,0.02,
131,2002.00,"12207",1/15/2002 0:00:00,0.02,
132,2004.00,"12207",8/28/2003 0:00:00,0.02,
133,2005.00,"12207",8/28/2003 0:00:00,0.02,"Used 2003 Caibration Value"
134,1994.00,"12215",8/30/1994 0:00:00,0.02,
135,1995.00,"12215",1/31/1995 0:00:00,0.02,
136,1996.00,"12215",8/29/1996 0:00:00,0.02,"Average of calibration values from 1/18/96 and 8/29/96"
137,1997.00,"12215",8/29/1996 0:00:00,0.02,"Average"
138,1998.00,"12215",10/3/1997 0:00:00,0.02,
139,2000.00,"12215",2/1/2000 0:00:00,0.02,
140,2002.00,"12215",1/15/2002 0:00:00,0.02,
141,1994.00,"12346",8/30/1994 0:00:00,0.02,
142,1995.00,"12346",1/31/1995 0:00:00,0.02,
143,2000.00,"12423",2/3/2000 0:00:00,0.02,
144,2003.00,"12441",1/30/2003 0:00:00,0.02,
145,2004.00,"12441",8/27/2003 0:00:00,0.02,
146,2005.00,"12441",8/27/2003 0:00:00,0.02,"Used 2003 Caibration Value"
147,1996.00,"12945",8/29/1996 0:00:00,0.02,"Average of calibration values from 1/18/96 and 8/29/96"
148,2002.00,"12215",1/15/2002 0:00:00,0.02,
149,2002.00,"12945",1/15/2002 0:00:00,0.02,
150,2002.00,"13287",1/15/2002 0:00:00,0.02,
151,2002.00,"13291",1/28/2002 0:00:00,0.02,
152,2002.00,"13327",1/28/2002 0:00:00,0.02,
153,2002.00,"14958",1/15/2002 0:00:00,0.02,
154,1994.00,"7539",10/1/1993 0:00:00,0.02,
155,1994.00,"9794",8/31/1994 0:00:00,0.02,
156,1994.00,"9887",8/31/1994 0:00:00,0.02,
157,1994.00,"10369",8/31/1994 0:00:00,0.02,
158,1994.00,"10378",8/31/1994 0:00:00,0.02,
159,1994.00,"11228",8/30/1994 0:00:00,0.02,
