"OrganismRowID","OrganismCodeMaster","CommonNameMaster","OrganismCodeSTN","FieldNameSTN","OrganismCodeMWT","FieldNameMWT","OrganismSymbol","Active","CommonName","Phylum","Class","Order","Family","Genus","Species"
1,1001,"American shad",5,"AMERSHAD",19,"AMERSHAD","AS",1,"American Shad","Chordata","NA","NA","Clupeidae","Alosa","sapidissima"
2,,"Aequorea spp.",183,"LENS JEL",111,,"LEN",1,"Lens Jellyfish","Cnidaria","NA","NA","NA","Aequorea","NA"
3,,"Atherinopsidae (Unid)",158,,,"ANTHERIN",,1,"Atherinopsidae (unk)","Chordata","NA","NA","NA","NA","NA"
4,2882,"arrow goby",13,"AROWGOBY",76,"AROWGOBY","AG",1,"Arrow Goby","Chordata","NA","NA","Gobiidae","Clevelandia","ios"
5,2885,"arrow or cheekspot goby",,,,,,1,,,,,,,
6,,"Aurelia spp.",159,,100,,"MOO",1,"Moon Jelly","Cnidaria","NA","NA","NA","Aurelia","aurita"
7,2101,"barred surfperch",135,,48,"BRDSPRCH",,1,"Barred Surfperch","Chordata","NA","NA","Embiotocidae","Amphistichus","argenteus"
8,240,"bat ray",100,,1,"BATRAY",,1,"Bat Ray","Chordata","NA","NA","Mobulidae","Myliobatis","californica"
9,2879,"bay goby",59,"BAYGOBY",74,"BAYGOBY","BG",1,"Bay Goby","Chordata","NA","NA","Gobiidae","Lepidogobius","lepidus"
10,1582,"bay pipefish",35,"BAYPIPE",71,"BAYPIPEF","BPF",1,"Bay Pipefish","Chordata","NA","NA","Syngnathidae","Syngnathus","leptorhynchus"
11,222,"big skate",101,,2,"BIGSKATE",,1,"Big Skate","Chordata","NA","NA","Rajidae","Raja","binoculata"
12,7167,"bigscale logperch",44,"LOGPERCH",72,"BSCALELG","BLP",1,"Bigscale Logperch","Chordata","NA","NA","Percidae","Percina","macrolepida"
13,7100,"black bullhead",138,,68,"BLKBULHD",,1,"Black Bullhead","Chordata","NA","NA","Ictaluridae","Ameiurus","melas"
14,7149,"black crappie",41,"BLKCRAP",6,"BLKCRAPP","BC",1,"Black Crappie","Chordata","NA","NA","Centrarchidae","Pomoxis","nigromaculatus"
15,2107,"black perch",116,,49,"BLKPERCH",,1,"Black Surfperch","Chordata","NA","NA","Embiotocidae","Embiotoca","jacksoni"
16,2327,"black rockfish",,,,,,1,,,,,,,
17,2871,"blackeye goby",,,,,,1,,,,,,,
18,,"Blackfordia virginica",189,,102,,"BLC",1,"Blackfordia virginica","Cnidaria",,,,"Blackfordia","virginica"
19,7105,"blue catfish",151,,,,,1,"Blue Catfish","Chordata","NA","NA","NA","Ictalurus","furcatus"
20,1404,"blue lanternfish",,,,,,1,,,,,,,
21,2330,"blue rockfish",,,,,,1,,,,,,,
22,7143,"bluegill",38,"BLUEGILL",52,"BLUEGILL","BGS",1,"Bluegill","Chordata","Actinopterygii","Perciformes","Centrarchidae","Lepomis","macrochirus"
23,2334,"bocaccio",,,,,,1,,,,,,,
24,2430,"bonyhead sculpin",,,,,,1,,,,,,,
25,103,"broadnose sevengill shark",129,,56,"SEVNGSHK",,1,"Sevengill Shark","Chordata","NA","NA","Hexanchidae","Notorynchus","maculatus"
26,7101,"brown bullhead",54,"BRNBULLH",69,"BRNBULHD","BB",1,"Brown Bullhead","Chordata","NA","NA","Ictaluridae","Ameiurus","nebulosus"
27,2406,"brown Irish lord",,,,,,1,,,,,,,
28,2304,"brown rockfish",,,,,,1,,,,,,,
29,139,"brown smoothhound",106,,59,"BRNSMHND",,1,"Brown Smoothhound","Chordata","NA","NA","Carcharhinidae","Mustelus","henlei"
30,2404,"buffalo sculpin",,,,,,1,,,,,,,
31,2410,"cabezon",,,,,,1,,,,,,,
32,2102,"calico surfperch",133,,45,"CALSPRCH",,1,"Calico Surfperch","Chordata","NA","NA","Embiotocidae","Amphistichus","koelzi"
33,2694,"California grunion",,,108,,,1,,,,,,,
34,3005,"California halibut",107,,78,"CHALIBUT",,1,"California Halibut","Chordata","NA","NA","Bothidae","Paralichthys","californicus"
35,1525,"California lizardfish",,,,,,1,,,,,,,
36,7052,"California roach",148,,,,,1,"California Roach","Chordata","NA","NA","NA","Hesperoleucus","symmetricus"
37,223,"California skate",137,,60,"CALSKATE",,1,"California Skate","Chordata","NA","NA","Rajidae","Raja","inornata"
38,3201,"California tonguefish",139,,77,"CATONGUE",,1,"California Tonguefish","Chordata","NA","NA","Cynoglossidae","Symphurus","atricauda"
39,5625,"Cancer magister",182,"DUNGEN",,,,1,"Dungeness crab","Arthropoda","NA","NA","NA","Cancer","magister"
40,,"catfish (Unid)",7,"CATFISH",,,"ICT",1,"Catfish (Unid)","Chordata","NA","NA","Ictaluridae","NA","NA"
41,2870,"chameleon goby",58,"CAMLGOBY",92,"CAMLGOBY","CG",1,"Chameleon Goby","Chordata","NA","NA","Gobiidae","Tridentiger","trigonocephalus"
42,7104,"channel catfish",9,"CHANLCAT",4,"CHANLCAT","CHC",1,"Channel Catfish","Chordata","NA","NA","Ictaluridae","Ictalurus","punctatus"
43,2881,"cheekspot goby",70,"CHEKGOBY",75,"CHKSGOBY","CSG",1,"Cheekspot Goby","Chordata","NA","NA","Gobiidae","Ilypnus","gilberti"
44,1105,"Chinook salmon",15,"CHINSALM",9,"CHINSALM","CS",1,"Chinook Salmon","Chordata","NA","NA","Salmonidae","Oncorhynchus","tshawytscha"
45,2762,"clinid (Unid)",,,,,,1,,,,,,,
46,3122,"C-O sole",,,,,,1,,,,,,,
47,1103,"coho salmon",146,,,,,1,"Coho Salmon","Chordata","NA","NA","NA","Oncorhynchus","kisutch"
48,7064,"common carp",26,"CARP",3,"CARP","CP",1,"Carp","Chordata","NA","NA","Cyprinidae","Cyprinus","carpio"
49,5126,"Crangon spp.",110,,22,"CRGSHRMP","CRA",1,"Crangon","Arthropoda","NA","NA","Caridae","Crangon","spp."
50,3123,"curlfin sole",,,,,,1,,,,,,,
51,1208,"delta smelt",3,"DLTASMLT",24,"DLTASMLT","DS",1,"Delta Smelt","Chordata","NA","NA","Osmeridae","Hypomesus","transpacificus"
52,3106,"diamond turbot",108,,82,"DIATURBT",,1,"Diamond Turbot","Chordata","NA","NA","Pleuronectidae","Hypsopsetta","guttulata"
53,3110,"Dover sole",,,,,,1,,,,,,,
54,2114,"dwarf perch",125,,50,"DWFPERCH",,1,"Dwarf Surfperch","Chordata","NA","NA","Embiotocidae","Micrometrus","minimus"
55,3120,"English sole",120,,83,"ENGLSOLE",,1,"English Sole","Chordata","NA","NA","Pleuronectidae","Pleuronectes","vetulus"
56,1207,"eulachon",,,,,,1,,,,,,,
57,5101,"Exopalaemon modestus",156,,103,,"EXO",1,"Siberian prawn","Arthropoda","NA","NA","Palaemonidae","Exopalaemon","modestus"
58,7062,"fathead minnow",147,,,,,1,"Fathead minnow","Chordata","NA","NA","NA","Pimephales","promelas"
59,4998,"fish unknown",99,"UNKNOWN",,,"UND",1,"Unknown Fish (UNID)","Chordata","NA","NA","Unknown","Unknown","Unknown"
60,,"flatfish (Unid)",121,,84,"FLATFISH",,1,"Flatfish (Unid)","Chordata","NA","NA","NA","NA","NA"
61,3127,"flounder (Unid) (right-eyed)",,,,,,1,,,,,,,
62,2409,"fluffy sculpin",,,,,,1,,,,,,,
63,,"freshwater eel (American eel?)",153,,,,,1,"Freshwater Eel","Chordata","NA","NA","NA","Anguilla","NA"
64,2869,"goby (Unid)",11,"GOBYFAML",,,"GOB",1,"Gobies (Unid)","Chordata","NA","NA","Gobiidae","NA","NA"
65,2884,"goby II (arrow, cheekspot, yellowfin)",,,,,,1,,,,,,,
66,7060,"golden shiner",25,"GOLDSHNR",65,"GOLDSHNR","GSH",1,"Golden Shiner","Chordata","NA","NA","Cyprinidae","Notemigonus","chrysoluecas"
67,7063,"goldfish",27,"GOLDFISH",64,"GOLDFISH","GF",1,"Goldfish","Chordata","NA","NA","Cyprinidae","Carrassius","auratus"
68,1501,"green sturgeon",23,"GRNSTURG",36,"GRNSTURG","GST",1,"Green Sturgeon","Chordata","NA","NA","Acipenseridae","Acipenser","medirostrus"
69,7146,"green sunfish",37,"GRNSUNF",53,"GRNSNFSH","GSN",1,"Green Sunfish","Chordata","NA","NA","Centrarchidae","Lepomis","cyanellus"
70,135,"grey smoothhound",126,,67,"GRYSMHND",,1,"Grey Smoothhound","Chordata","NA","NA","Carcharhinidae","Mustelus","californica"
71,7058,"hardhead",29,"HARDHEAD",,,"HH",1,"Hardhead","Chordata","NA","NA","Cyprinidae","Mylopharodon","conocephalus"
72,1000,"herring (shads) (Unid)",4,"SHADFMLY",,,"CLU",1,"Herring (Unid)","Chordata","NA","NA","Clupeidae","NA","NA"
73,7051,"hitch",57,"HITCH",61,"HITCH","HIT",1,"Hitch","Chordata","NA","NA","Cyprinidae","Lavinia","exilicauda"
74,3125,"hornyhead turbot",,,,,,1,,,,,,,
75,3112,"hybrid sole (forkline)",,,,,,1,,,,,,,
76,2607,"jack mackerel",,,,,,1,,,,,,,
77,2692,"jacksmelt",34,"JACKSMLT",8,"JACKSMLT","JS",1,"Jacksmelt","Chordata","NA","NA","Atherinopsidae","Atherinopsis","californiensis"
78,,"jellyfish (Unid)",188,,98,,"JEL",1,"jelly (UNID)","Cnidaria",,,,,
79,2661,"kelp greenling",,,,,,1,,,,,,,
80,20,"lamprey (Unid)",60,"LAMPREYF",,,"PET",1,"Lampreys (Unid)","Chordata","NA","NA","Petromyzontidae","NA","NA"
81,7150,"largemouth bass",39,"LRGMBASS",55,"LMTHBASS","LMB",1,"Largemouth Bass","Chordata","NA","NA","Centrarchidae","Micropterus","salmoides"
82,140,"leopard shark",105,,58,"LEOPSHRK",,1,"Leopard Shark","Chordata","NA","NA","Triakidae","Triakis","semifasciata"
83,2664,"lingcod",127,,86,"LINGCOD",,1,"Lingcod","Chordata","NA","NA","Hexagrammidae","Ophiodon","elongatus"
84,1204,"longfin smelt",2,"LGFNSMLT",25,"LNGFSMLT","LFS",1,"Longfin Smelt","Chordata","NA","NA","Osmeridae","Spirinchus","thaleichtys"
85,2878,"longjaw mudsucker",69,"LNGJAWMD",,,"LJM",1,"Longjaw Mudsucker","Chordata","NA","NA","Gobiidae","Gillichthys","mirabilis"
86,,"Maeotias marginata",157,,101,,"MAE",1,"Maeotias","Cnidaria","NA","NA","NA","Maeotias","marginata"
87,7079,"minnow (Unid)",24,"MINNOWS",,,"CYP",1,"Cyprinids (Unid)","Chordata","NA","NA","Cyprinidae","NA","NA"
88,7128,"Mississippi silverside",53,"MISSIL",12,"INLSLVER","MSS",1,"Mississippi Silverside","Chordata","NA","NA","Atherinopsidae","Menidia","audens"
89,2775,"monkeyface prickleback",,,,,,1,,,,,,,
90,2678,"mussel blenny",,,,,,1,,,,,,,
91,1205,"night smelt",111,,26,"NGHTSMLT",,1,"Night Smelt","Chordata","NA","NA","Osmeridae","Spirinchus","starski"
92,1514,"northern anchovy",14,"NANCHOVY",13,"NANCHOVY","NA",1,"Northern Anchovy","Chordata","NA","NA","Engraulidae","Engraulis","mordax"
93,1802,"northern clingfish",,,,,,1,,,,,,,
94,1403,"northern lampfish",,,,,,1,,,,,,,
95,2753,"onespot fringehead",,,,,,1,,,,,,,
96,1521,"Pacific argentine",,,,,,1,,,,,,,
97,2720,"Pacific barracuda",,,,,,1,,,,,,,
98,1635,"Pacific blacksmelt",,,,,,1,,,,,,,
99,2209,"Pacific chub mackeral",,,,,,1,,,,,,,
