"StationRowID","StationCodeSTN","Active","Core","Index","Region","Location","LatD","LatM","LatS","LonD","LonM","LonS","RKI","AreaCode","TNS.Diet.Area","Comments","STRArea","WeightingFactor","YearAdded","YearEliminated","LatD_2019","LatM_2019","LatS_2019","LonD_2019","LonM_2019","LonS_2019"
24,"405",TRUE,1,1,"Suisun Bay (Carquinez St.)","Carquinez Strait just W of Benecia army dock",38,2,22.8999996185303,122,9,1.79999995231628,"RSAC054",3,1,NA,"02-Carquinez",13,1959,NA,38,2,22.8999996185303,122,9,1.79999995231628
25,"411",TRUE,1,1,"Suisun Bay","Suisun Bay just W of Point Edith",38,3,4.69999980926514,122,4,59.9000015258789,"RSAC059",3,1,NA,"03-Suisun Bay",46,1959,NA,38,3,4.19999980926514,122,4,41.5999984741211
26,"418",TRUE,1,1,"Suisun Bay (Mothball)","Suisun Bay near surplus ships, opposite Avon oil d",38,3,53.2999992370605,122,5,52.0999984741211,"LSBB04",3,1,NA,"03-Suisun Bay",70,1959,NA,38,3,53.2999992370605,122,5,52.0999984741211
27,"501",TRUE,1,1,"Suisun Bay","Suisun Bay between Roe and Ryer Islands",38,4,21,122,1,30.7000007629395,"LSBA5",6,1,NA,"03-Suisun Bay",49,1959,NA,38,4,24.5,122,1,30.3999996185303
28,"504",TRUE,1,1,"Suisun Bay","Suisun Bay just E of Middle Point",38,3,16.2000007629395,121,59,22.2000007629395,"RSAC068",6,2,NA,"03-Suisun Bay",60,1959,NA,38,3,9.5,121,59,10.1000003814697
29,"508",TRUE,1,1,"Suisun Bay","Suisun Bay off Chipps Island, opposite Sacramento ",38,2,43.7999992370605,121,55,7.69999980926514,"RSAC075",6,2,NA,"04-Confluence",31,1959,NA,38,2,43.7999992370605,121,55,7.69999980926514
30,"513",TRUE,1,1,"Suisun Bay","Sacramento River between vanSickle & Winter Island",38,3,29.8999996185303,121,52,4.80000019073486,"RSAC079",7,2,NA,"04-Confluence",43,1959,NA,38,3,29.8999996185303,121,52,4.80000019073486
31,"519",TRUE,1,1,"Suisun Bay (Honker)","Honker Bay,W end at Dolphin",38,4,20.2999992370605,121,57,34.9000015258789,"LSBB23",6,2,NA,"03-Suisun Bay",15,1959,NA,38,4,20.2999992370605,121,57,34.9000015258789
32,"520",TRUE,1,1,"Suisun Bay","New York Slough,W end along Pittsburg dock",38,1,58.0999984741211,121,52,9.5,"SLNY1",7,2,NA,"04-Confluence",9,1959,NA,38,1,58.0999984741211,121,52,9.5
33,"602",TRUE,1,1,"Suisun Bay (Grizzly)","Grizzly Bay NE of Suisun Slough at Dolphin",38,6,50.4000015258789,122,2,46.2999992370605,"LSBB11",4,9,NA,"03-Suisun Bay",44,1959,NA,38,6,50.4000015258789,122,2,46.2999992370605
34,"606",TRUE,1,1,"Suisun Bay (Mont. Sl.)","Montezuma Slough off Joice Island at PG&E cable cr",38,10,10.1000003814697,122,1,32.4000015258789,"SLMZU06",5,9,NA,"03-Suisun Bay",20,1959,NA,38,10,10.1000003814697,122,1,32.4000015258789
35,"609",TRUE,1,1,"Suisun Bay (Mont. Sl.)","Montezuma Slough at Nurse Slough",38,10,1.89999997615814,121,56,16.7999992370605,"SLMZU16",5,9,NA,"03-Suisun Bay",15,1959,NA,38,10,1.89999997615814,121,56,16.7999992370605
36,"610",TRUE,1,1,"Suisun Bay (Mont. Sl.)","Montezuma Slough at road from Bird's Landing",38,7,7.69999980926514,121,53,21.1000003814697,"SLMZU25",5,9,NA,"03-Suisun Bay",4,1959,NA,38,7,7.69999980926514,121,53,21.1000003814697
