"Class","Month","Min","Max","OrganismCode"
"Age-0",1.00,1.00,50.00,"ST"
"Age-0",2.00,1.00,50.00,"ST"
"Age-0",3.00,1.00,50.00,"ST"
"Age-0",4.00,1.00,55.00,"ST"
"Age-0",5.00,1.00,65.00,"ST"
"Age-0",6.00,1.00,85.00,"ST"
"Age-0",7.00,1.00,100.00,"ST"
"Age-0",8.00,1.00,110.00,"ST"
"Age-0",9.00,1.00,125.00,"ST"
"Age-0",10.00,1.00,135.00,"ST"
"Age-0",11.00,1.00,135.00,"ST"
"Age-0",12.00,1.00,140.00,"ST"
"Age-1",1.00,51.00,140.00,"ST"
"Age-1",2.00,51.00,140.00,"ST"
"Age-1",3.00,51.00,145.00,"ST"
"Age-1",4.00,56.00,155.00,"ST"
"Age-1",5.00,66.00,165.00,"ST"
"Age-1",6.00,86.00,175.00,"ST"
"Age-1",7.00,101.00,185.00,"ST"
"Age-1",8.00,111.00,190.00,"ST"
"Age-1",9.00,126.00,200.00,"ST"
"Age-1",10.00,136.00,205.00,"ST"
"Age-1",11.00,136.00,205.00,"ST"
"Age-1",12.00,141.00,210.00,"ST"
"Age-2+",1.00,141.00,500.00,"ST"
"Age-2+",2.00,141.00,500.00,"ST"
"Age-2+",3.00,146.00,500.00,"ST"
"Age-2+",4.00,156.00,500.00,"ST"
"Age-2+",5.00,166.00,500.00,"ST"
"Age-2+",6.00,176.00,500.00,"ST"
"Age-2+",7.00,186.00,500.00,"ST"
"Age-2+",8.00,191.00,500.00,"ST"
"Age-2+",9.00,201.00,500.00,"ST"
"Age-2+",10.00,206.00,500.00,"ST"
"Age-2+",11.00,206.00,500.00,"ST"
"Age-2+",12.00,211.00,500.00,"ST"
"N/A",1.00,0.00,1000.00,"TFS"
"N/A",2.00,0.00,1000.00,"TFS"
"N/A",3.00,0.00,1000.00,"TFS"
"N/A",4.00,0.00,1000.00,"TFS"
"N/A",5.00,0.00,1000.00,"TFS"
"N/A",6.00,0.00,1000.00,"TFS"
"N/A",7.00,0.00,1000.00,"TFS"
"N/A",8.00,0.00,1000.00,"TFS"
"N/A",9.00,0.00,1000.00,"TFS"
"N/A",10.00,0.00,1000.00,"TFS"
"N/A",11.00,0.00,1000.00,"TFS"
"N/A",12.00,0.00,1000.00,"TFS"
"Age-0",1.00,1.00,1.00,"WCF"
"Age-0",2.00,1.00,1.00,"WCF"
"Age-0",3.00,1.00,1.00,"WCF"
"Age-0",4.00,1.00,1.00,"WCF"
"Age-0",5.00,1.00,1.00,"WCF"
"Age-0",6.00,1.00,1.00,"WCF"
"Age-0",7.00,1.00,50.00,"WCF"
"Age-0",8.00,1.00,60.00,"WCF"
"Age-0",9.00,1.00,65.00,"WCF"
"Age-0",10.00,1.00,75.00,"WCF"
"Age-0",11.00,1.00,75.00,"WCF"
"Age-0",12.00,1.00,75.00,"WCF"
"Age-1",1.00,1.00,75.00,"WCF"
