"OrganismRowID","OrganismCode","Native","Resident","Active","CommonName","Phylum","Class","Order","Family","Genus","Species","Comments","TL_to_StdLen_Coefficient"
"{13157E76-8C9C-11D3-AFE6-00C04FF7F6A0}","AEE",0,0,0,"American Eel","Chordata","Osteichthyes","Anguilliformes","Anguillidae","Anguilla","rostrata",,
"{6204CA7C-80D1-11D3-AFD7-00C04FF7F6A0}","AGB",1,0,0,"Arrow Goby","Chordata","Osteichthyes","Perciformes","Gobiidae","Clevelandia","ios",,
"{90FE9FA9-E1FB-11D2-9F94-006008038FD8}","ASH",0,0,1,"American Shad","Chordata","Osteichthyes","Clupeiformes","Clupeidae","Alosa","sapidissima",,
"{90FE9FAA-E1FB-11D2-9F94-006008038FD8}","BASS",0,0,0,"Bass Unknown","Chordata","Osteichthyes","Perciformes","Centrarchidae","Micropterus","NA",,
"{90FE9FB0-E1FB-11D2-9F94-006008038FD8}","BB",0,0,1,"Brown Bullhead","Chordata","Osteichthyes","Siluriformes","Ictaluridae","Ameiurus","nebulosus",,0.88
"{90FE9FAE-E1FB-11D2-9F94-006008038FD8}","BC",0,1,1,"Black Crappie","Chordata","Osteichthyes","Perciformes","Centrarchidae","Pomoxis","nigromaculatus",,0.83
"{D01E3012-C211-44DF-8A41-3F743F4B4462}","BENTHFISH",0,0,1,"Gobies/sculpins","Chordata","Osteichthyes","Scorpaen/Perciformes","Cottidae and Gobiidae","several","several","Includes YFG, SKG, SG, and SCP",0.00
"{90FE9FDD-E1FB-11D2-9F94-006008038FD8}","BF",1,1,1,"Sacramento Blackfish","Chordata","Osteichthyes","Cypriniformes","Cyprinidae","Orthodon","microlepidotus",,
"{90FE9FAC-E1FB-11D2-9F94-006008038FD8}","BG",0,1,1,"Bluegill","Chordata","Osteichthyes","Perciformes","Centrarchidae","Lepomis","macrochirus",,0.81
"{6204CA61-80D1-11D3-AFD7-00C04FF7F6A0}","BGB",1,0,0,"Bay Goby","Chordata","Osteichthyes","Perciformes","Gobiidae","Lepidogobius","lepidus",,
"{6204CA87-80D1-11D3-AFD7-00C04FF7F6A0}","BKSP",1,0,0,"Black Surfperch","Chordata","Osteichthyes","Percifomes","Embiotocidae","Embiotoca","jacksoni",,
