SampleID,StationCode,SampleDate,SampleTime,MethodCode,GearID,GearConditionCode,WeatherCode,VegetationRank,MicrocystisVisualRank,YSI Handheld #,WaterTemperature,Secchi,Conductivity,SpCnd,DO,pH,Turbidity,Entered By,Checked By,UserName,AgencyCode,s_ColLineage,s_Generation,s_Lineage,DataCorrectionComments
9215,BL2,4/23/2021,9:01:00 AM,BSEIN,SEIN50,1,CLR,1,,3,17.90,0.26,778,901,6.90,7.93,32.30,PF,AB,,,,,,
9216,BL3,4/23/2021,10:01:00 AM,BSEIN,SEIN50,1,CLR,2,,3,18.50,0.2,675,771,7.55,8.12,37.90,PF,AB,,,,,,
9217,BL4,4/23/2021,10:34:00 AM,BSEIN,SEIN50,2,CLR,3,,3,19.90,0.28,540,598,8.31,8.25,34.40,PF,AB,,,,,,
9204,PCS,4/23/2021,1:42:00 PM,FKTR,FKTR,1,CLR,1,,3,20.30,0.25,793,871,8.21,8.03,27.40,PF,AB,,,,,,
9209,STTD,4/23/2021,12:12:00 PM,RSTR,RSTR8,1,CLR,2,,3,18.30,0.35,431,494,7.68,8.17,24.80,PF,AB,,,,,,
9214,BL5,4/22/2021,9:24:00 AM,BSEIN,SEIN50,2,CLR,3,,3,16.90,0.52,204,241,10.97,8.45,16.60,PF,AB,,,,,,
9203,PCS,4/22/2021,11:43:00 AM,FKTR,FKTR,1,CLR,1,,3,18.80,0.29,753,853,7.62,7.99,28.60,PF,AB,,,,,,
9208,STTD,4/22/2021,10:50:00 AM,RSTR,RSTR8,1,CLR,2,,3,18.40,0.29,388,445,8.02,8.25,21.70,PF,AB,,,,,,
9202,PCS,4/21/2021,10:55:00 AM,FKTR,FKTR,1,CLR,1,,2,20.70,0.31,787,854,7.06,7.89,21.30,PF,AB,,,,,,
9207,STTD,4/21/2021,9:51:00 AM,RSTR,RSTR8,1,CLR,2,,2,18.90,0.43,386,439.3,8.33,8.28,11.50,PF,AB,,,,,,
9201,PCS,4/20/2021,10:35:00 AM,FKTR,FKTR,1,CLR,2,,2,18.70,0.31,753,856,7.07,7.86,25.90,PF,AB,,,,,,
9206,STTD,4/20/2021,9:40:00 AM,RSTR,RSTR8,1,CLD,2,,2,19.40,0.61,336,376,9.21,8.44,11.90,PF,AB,,,,,,added RFK
9210,AL1,4/19/2021,9:22:00 AM,BSEIN,SEIN50,1,CLR,2,,1,19.00,0.51,785,887,5.08,7.77,11.80,PF,AB,,,,,,
9211,AL3,4/19/2021,10:14:00 AM,BSEIN,SEIN50,1,CLR,2,,1,18.80,0.37,834,945,5.55,7.84,22.40,PF,AB,,,,,,
9212,AL4,4/19/2021,11:20:00 AM,BSEIN,SEIN50,2,CLR,3,,1,18.80,0.41,751,852,5.70,7.85,18.80,PF,AB,,,,,,
9213,BL1,4/19/2021,2:20:00 PM,BSEIN,SEIN50,1,CLR,2,,1,21.00,0.33,801,867,7.54,8.03,21.40,PF,AB,,,,,,
9200,PCS,4/19/2021,2:58:00 PM,FKTR,FKTR,1,CLR,2,,1,21.90,0.33,801,867,7.54,8.03,21.40,PF,AB,,,,,,
9205,STTD,4/19/2021,1:05:00 PM,RSTR,RSTR8,1,CLR,1,,1,20.30,0.36,460,506,8.42,8.31,17.30,PF,AB,,,,,,added DO
