"StationCode","MethodCode","Date","DateTime","SampleID","effort.hrs"
"PCS","FKTR",2010-01-04,2010-01-04 11:21:00,3018,0
"PCS","FKTR",2010-01-05,2010-01-05 11:33:00,3103,24.2
"PCS","FKTR",2010-01-06,2010-01-06 13:15:00,3147,25.7
"PCS","FKTR",2010-01-07,2010-01-07 13:48:00,3169,24.55
"PCS","FKTR",2010-01-11,2010-01-11 10:22:00,3257,0
"PCS","FKTR",2010-01-12,2010-01-12 11:03:00,3301,24.6833333333333
"PCS","FKTR",2010-01-13,2010-01-13 12:18:00,3323,25.25
"PCS","FKTR",2010-01-14,2010-01-14 13:00:00,3600,24.7
"PCS","FKTR",2010-01-19,2010-01-19 10:35:00,3601,0
"PCS","FKTR",2010-01-20,2010-01-20 09:48:00,3415,23.2166666666667
"PCS","FKTR",2010-01-21,2010-01-21 15:03:00,3438,29.25
"PCS","FKTR",2010-01-27,2010-01-27 12:14:00,3527,0
"PCS","FKTR",2010-01-27,2010-01-27 15:45:00,3536,3.51666666666667
"PCS","FKTR",2010-01-28,2010-01-28 10:22:00,3537,0
"PCS","FKTR",2010-01-28,2010-01-28 15:30:00,3538,5.13333333333333
"PCS","FKTR",2010-01-29,2010-01-29 12:08:00,3539,0
"PCS","FKTR",2010-01-29,2010-01-29 15:44:00,3540,3.6
"PCS","FKTR",2010-02-01,2010-02-01 10:23:00,3541,0
"PCS","FKTR",2010-02-01,2010-02-01 14:39:00,3542,4.26666666666667
"PCS","FKTR",2010-02-02,2010-02-02 11:23:00,3543,0
"PCS","FKTR",2010-02-02,2010-02-02 15:38:00,3544,4.25
"PCS","FKTR",2010-02-03,2010-02-03 14:45:00,3545,23.1166666666667
"PCS","FKTR",2010-02-04,2010-02-04 14:23:00,3602,23.6333333333333
"PCS","FKTR",2010-02-08,2010-02-08 10:35:00,1025,0
"PCS","FKTR",2010-02-09,2010-02-09 12:04:00,1026,25.4833333333333
"PCS","FKTR",2010-02-10,2010-02-10 09:56:00,1027,21.8666666666667
"PCS","FKTR",2010-02-11,2010-02-11 16:00:00,3603,30.0666666666667
"PCS","FKTR",2010-02-17,2010-02-17 12:42:00,3605,25.35
"PCS","FKTR",2010-02-18,2010-02-18 13:30:00,3606,24.8
"PCS","FKTR",2010-02-23,2010-02-23 11:12:00,3607,0
"PCS","FKTR",2010-02-24,2010-02-24 11:29:00,3608,24.2833333333333
"PCS","FKTR",2010-02-25,2010-02-25 12:06:00,3609,24.6166666666667
"PCS","FKTR",2010-02-26,2010-02-26 12:14:00,3610,24.1333333333333
"PCS","FKTR",2010-03-01,2010-03-01 11:10:00,3611,0
"PCS","FKTR",2010-03-02,2010-03-02 12:25:00,3612,25.25
"PCS","FKTR",2010-03-03,2010-03-03 12:49:00,3613,24.4
"PCS","FKTR",2010-03-04,2010-03-04 11:59:00,3614,23.1666666666667
"PCS","FKTR",2010-03-08,2010-03-08 11:20:00,3615,0
"PCS","FKTR",2010-03-09,2010-03-09 12:15:00,3616,24.9166666666667
"PCS","FKTR",2010-03-10,2010-03-10 11:20:00,1030,23.0833333333333
"PCS","FKTR",2010-03-11,2010-03-11 13:42:00,1031,26.3666666666667
"PCS","FKTR",2010-03-15,2010-03-15 11:30:00,1032,0
"PCS","FKTR",2010-03-16,2010-03-16 11:53:00,1033,24.3833333333333
"PCS","FKTR",2010-03-17,2010-03-17 14:05:00,1034,26.2
"PCS","FKTR",2010-03-18,2010-03-18 11:28:00,3588,21.3833333333333
"PCS","FKTR",2010-03-22,2010-03-22 11:30:00,3589,0
"PCS","FKTR",2010-03-23,2010-03-23 10:52:00,3590,23.3666666666667
"PCS","FKTR",2010-03-24,2010-03-24 13:13:00,3591,26.35
"PCS","FKTR",2010-03-25,2010-03-25 11:40:00,3592,22.45
"PCS","FKTR",2010-03-26,2010-03-26 11:30:00,3593,23.8333333333333
"PCS","FKTR",2010-03-29,2010-03-29 10:30:00,3594,0
"PCS","FKTR",2010-03-30,2010-03-30 13:18:00,3595,26.8
"PCS","FKTR",2010-03-31,2010-03-31 11:40:00,3596,22.3666666666667
"PCS","FKTR",2010-04-01,2010-04-01 11:49:00,3597,24.15
"PCS","FKTR",2010-04-05,2010-04-05 09:42:00,3598,0
"PCS","FKTR",2010-04-06,2010-04-06 11:43:00,3599,26.0166666666667
"PCS","FKTR",2010-04-07,2010-04-07 11:51:00,3657,24.1333333333333
"PCS","FKTR",2010-04-08,2010-04-08 11:45:00,3658,23.9
