"SampleID","StationCode","SampleDate","SampleTime","MethodCode","GearID","GearConditionCode","WeatherCode","VegetationRank","MicrocystisVisualRank","YSI Handheld #","WaterTemperature","Secchi","Conductivity","SpCnd","DO","pH","Turbidity","Entered By","Checked By","UserName","AgencyCode","s_ColLineage","s_Generation","s_Lineage","DataCorrectionComments"
9215,"BL2","4/23/2021",09:01:00,"BSEIN","SEIN50",1,"CLR",1,NA,3,17.9,0.26,778,901,6.9,7.93,32.3,"PF","AB",NA,NA,NA,NA,NA,NA
9216,"BL3","4/23/2021",10:01:00,"BSEIN","SEIN50",1,"CLR",2,NA,3,18.5,0.2,675,771,7.55,8.12,37.9,"PF","AB",NA,NA,NA,NA,NA,NA
9217,"BL4","4/23/2021",10:34:00,"BSEIN","SEIN50",2,"CLR",3,NA,3,19.9,0.28,540,598,8.31,8.25,34.4,"PF","AB",NA,NA,NA,NA,NA,NA
9204,"PCS","4/23/2021",13:42:00,"FKTR","FKTR",1,"CLR",1,NA,3,20.3,0.25,793,871,8.21,8.03,27.4,"PF","AB",NA,NA,NA,NA,NA,NA
9209,"STTD","4/23/2021",12:12:00,"RSTR","RSTR8",1,"CLR",2,NA,3,18.3,0.35,431,494,7.68,8.17,24.8,"PF","AB",NA,NA,NA,NA,NA,NA
9214,"BL5","4/22/2021",09:24:00,"BSEIN","SEIN50",2,"CLR",3,NA,3,16.9,0.52,204,241,10.97,8.45,16.6,"PF","AB",NA,NA,NA,NA,NA,NA
9203,"PCS","4/22/2021",11:43:00,"FKTR","FKTR",1,"CLR",1,NA,3,18.8,0.29,753,853,7.62,7.99,28.6,"PF","AB",NA,NA,NA,NA,NA,NA
9208,"STTD","4/22/2021",10:50:00,"RSTR","RSTR8",1,"CLR",2,NA,3,18.4,0.29,388,445,8.02,8.25,21.7,"PF","AB",NA,NA,NA,NA,NA,NA
9202,"PCS","4/21/2021",10:55:00,"FKTR","FKTR",1,"CLR",1,NA,2,20.7,0.31,787,854,7.06,7.89,21.3,"PF","AB",NA,NA,NA,NA,NA,NA
9207,"STTD","4/21/2021",09:51:00,"RSTR","RSTR8",1,"CLR",2,NA,2,18.9,0.43,386,439.3,8.33,8.28,11.5,"PF","AB",NA,NA,NA,NA,NA,NA
9201,"PCS","4/20/2021",10:35:00,"FKTR","FKTR",1,"CLR",2,NA,2,18.7,0.31,753,856,7.07,7.86,25.9,"PF","AB",NA,NA,NA,NA,NA,NA
9206,"STTD","4/20/2021",09:40:00,"RSTR","RSTR8",1,"CLD",2,NA,2,19.4,0.61,336,376,9.21,8.44,11.9,"PF","AB",NA,NA,NA,NA,NA,"added RFK"
9210,"AL1","4/19/2021",09:22:00,"BSEIN","SEIN50",1,"CLR",2,NA,1,19,0.51,785,887,5.08,7.77,11.8,"PF","AB",NA,NA,NA,NA,NA,NA
9211,"AL3","4/19/2021",10:14:00,"BSEIN","SEIN50",1,"CLR",2,NA,1,18.8,0.37,834,945,5.55,7.84,22.4,"PF","AB",NA,NA,NA,NA,NA,NA
9212,"AL4","4/19/2021",11:20:00,"BSEIN","SEIN50",2,"CLR",3,NA,1,18.8,0.41,751,852,5.7,7.85,18.8,"PF","AB",NA,NA,NA,NA,NA,NA
9213,"BL1","4/19/2021",14:20:00,"BSEIN","SEIN50",1,"CLR",2,NA,1,21,0.33,801,867,7.54,8.03,21.4,"PF","AB",NA,NA,NA,NA,NA,NA
9200,"PCS","4/19/2021",14:58:00,"FKTR","FKTR",1,"CLR",2,NA,1,21.9,0.33,801,867,7.54,8.03,21.4,"PF","AB",NA,NA,NA,NA,NA,NA
9205,"STTD","4/19/2021",13:05:00,"RSTR","RSTR8",1,"CLR",1,NA,1,20.3,0.36,460,506,8.42,8.31,17.3,"PF","AB",NA,NA,NA,NA,NA,"added DO"
9174,"PCS","4/15/2021",11:15:00,"FKTR","FKTR",1,"CLR",1,NA,1,19,0.32,759,847,7.59,8.08,22.7,"HH","AB, PF",NA,NA,NA,NA,NA,"11:00 am to 11:15 am"
9199,"STTD","4/15/2021",09:32:00,"RSTR","RSTR8",1,"CLR",2,NA,1,17.1,0.45,356,420,8.29,8.25,15.3,"PF","AB",NA,NA,NA,NA,NA,"changed 2 MSS lengths"
9173,"PCS","4/14/2021",10:46:00,"FKTR","FKTR",1,"CLR",1,NA,1,18.7,0.35,724,823,8.11,8.13,20.1,"HH","AB",NA,NA,NA,NA,NA,NA
9198,"STTD","4/14/2021",09:23:00,"RSTR","RSTR8",1,"CLR",2,NA,1,17.3,0.37,410,481.3,7.92,8.2,17,"PF","AB",NA,NA,NA,NA,NA,NA
9172,"PCS","4/13/2021",10:35:00,"FKTR","FKTR",1,"CLR",2,NA,2,18.2,0.33,661,759,8.39,7.98,20.9,"HH","AB",NA,NA,NA,NA,NA,NA
9197,"STTD","4/13/2021",09:27:00,"RSTR","RSTR8",1,"CLR",2,NA,2,17.1,0.41,392.3,461.9,8.24,8.02,16.7,"PF",NA,NA,NA,NA,NA,NA,"corrected MSS length"
9171,"PCS","4/12/2021",11:00:00,"FKTR","FKTR",1,"CLR",2,NA,2,18.4,0.31,638,730,7.79,7.89,22.2,"HH","PF",NA,NA,NA,NA,NA,"Duplicate within system"
9196,"STTD","4/12/2021",10:13:00,"RSTR","RSTR8",1,"CLR",1,NA,2,17.2,0.24,525,617,7.78,7.96,26.7,"PF","AB",NA,NA,NA,NA,NA,NA
9169,"PCS","4/2/2021",10:59:00,"FKTR","FKTR",1,"CLR",1,NA,2,17.6,0.35,420,489,7.52,7.97,20.3,"HH","AB",NA,NA,NA,NA,NA,NA
9195,"STTD","4/2/2021",10:00:00,"RSTR","RSTR8",2,"CLR",2,NA,2,17.2,0.65,365.8,430.3,8.98,8,9.3,"PF","AB",NA,NA,NA,NA,NA,"Added MSS"
9170,"PCS","4/1/2021",10:15:00,"FKTR","FKTR",1,"CLR",2,NA,2,16.8,0.36,545,646,9.32,8.26,21.1,"HH","AB",NA,NA,NA,NA,NA,NA
