attributeName	code	definition
Source	20mm	CDFW 20mm Survey
Source	Bay Study	CDFW Bay Study
Source	DJFMP	USFWS Delta Juvenile Fish Monitoring Program
Source	EDSM	USFWS Enhanced Delta Smelt Monitoring
Source	FMWT	CDFW Fall Midwater Trawl
Source	SKT	CDFW Spring Kodiak Trawl
Source	SLS	CDFW Smelt Larva Survey
Source	STN	CDFW Summer Townet
Source	Suisun	UC Davis Suisun Marsh Fish Study
Method	20mm net	20mm net
Method	Beach seine	Beach seine
Method	Kodiak trawl	Kodiak trawl
Method	Midwater trawl	Midwater trawl
Method	Oblique tow	Oblique tow
Method	Otter trawl	Otter trawl
Method	STN net	Summer townet
Tide	Ebb	Ebb tide
Tide	Flood	Flood tide
Tide	High Slack	High slack tide
Tide	Low Slack	Low slack tide
Secchi_estimated	TRUE	The Secchi value is estimated
Secchi_estimated	FALSE	The Secchi value is not estimated
