name	name_type	name_resolved	authority_system	authority_id
Acanthogobius flavimanus	scientific	Acanthogobius flavimanus	World Register of Marine Species	279475
Acipenser	scientific	Acipenser	World Register of Marine Species	125618
Acipenser transmontanus	scientific	Acipenser transmontanus	World Register of Marine Species	238345
Alosa sapidissima	scientific	Alosa sapidissima	World Register of Marine Species	158670
Ameiurus catus	scientific	Ameiurus catus	World Register of Marine Species	1023048
Ameiurus melas	scientific	Ameiurus melas	ITIS	164039
Ameiurus nebulosus	scientific	Ameiurus nebulosus	ITIS	164043
Atheriniformes	scientific	Atheriniformes	World Register of Marine Species	10318
Atherinops affinis	scientific	Atherinops affinis	World Register of Marine Species	279812
Atherinopsis californiensis	scientific	Atherinopsis californiensis	World Register of Marine Species	279813
Carassius auratus	scientific	Carassius auratus	World Register of Marine Species	154298
Catostomus occidentalis	scientific	Catostomus occidentalis	ITIS	163908
Centrarchidae	scientific	Centrarchidae	World Register of Marine Species	151288
Citharichthys stigmaeus	scientific	Citharichthys stigmaeus	World Register of Marine Species	275696
Clevelandia ios	scientific	Clevelandia ios	World Register of Marine Species	280215
Clupea pallasii	scientific	Clupea pallasii	World Register of Marine Species	151159
Cottidae	scientific	Cottidae	World Register of Marine Species	125589
Cottus asper	scientific	Cottus asper	World Register of Marine Species	274368
Cymatogaster aggregata	scientific	Cymatogaster aggregata	World Register of Marine Species	280461
Cyprinidae	scientific	Cyprinidae	World Register of Marine Species	154163
Cyprinus carpio	scientific	Cyprinus carpio	World Register of Marine Species	154582
Dorosoma petenense	scientific	Dorosoma petenense	World Register of Marine Species	276310
Engraulis mordax	scientific	Engraulis mordax	World Register of Marine Species	272286
Gambusia affinis	scientific	Gambusia affinis	World Register of Marine Species	159325
Gasterosteus aculeatus	scientific	Gasterosteus aculeatus	World Register of Marine Species	126505
Genyonemus lineatus	scientific	Genyonemus lineatus	World Register of Marine Species	280830
Gillichthys mirabilis	scientific	Gillichthys mirabilis	World Register of Marine Species	280851
Gobiidae	scientific	Gobiidae	World Register of Marine Species	125537
Hypomesus nipponensis	scientific	Hypomesus nipponensis	World Register of Marine Species	279421
Hypomesus transpacificus	scientific	Hypomesus transpacificus	World Register of Marine Species	279423
Hysterocarpus traskii	scientific	Hysterocarpus traskii	World Register of Marine Species	293619
Ictaluridae	scientific	Ictaluridae	World Register of Marine Species	154197
Ictalurus punctatus	scientific	Ictalurus punctatus	ITIS	163998
Ilypnus gilberti	scientific	Ilypnus gilberti	World Register of Marine Species	281174
Lampetra ayresii	scientific	Lampetra ayresii	World Register of Marine Species	271316
Lampetra tridentata	scientific	Lampetra tridentata	World Register of Marine Species	1623764
Lavinia exilicauda	scientific	Lavinia exilicauda	ITIS	163569
Lepidogobius lepidus	scientific	Lepidogobius lepidus	World Register of Marine Species	281292
Lepomis macrochirus	scientific	Lepomis macrochirus	ITIS	168141
Lepomis microlophus	scientific	Lepomis microlophus	ITIS	168154
Leptocottus armatus	scientific	Leptocottus armatus	World Register of Marine Species	254345
Lucania goodei	scientific	Lucania goodei	ITIS	165680
Lucania parva	scientific	Lucania parva	World Register of Marine Species	159310
Menidia audens	scientific	Menidia audens	ITIS	165998
Micropterus dolomieu	scientific	Micropterus dolomieu	ITIS	550562
Micropterus punctulatus	scientific	Micropterus punctulatus	ITIS	168161
Micropterus salmoides	scientific	Micropterus salmoides	ITIS	168160
Morone saxatilis	scientific	Morone saxatilis	World Register of Marine Species	151179
Notemigonus crysoleucas	scientific	Notemigonus crysoleucas	ITIS	163368
Oncorhynchus tshawytscha	scientific	Oncorhynchus tshawytscha	World Register of Marine Species	158075
Orthodon microlepidotus	scientific	Orthodon microlepidotus	World Register of Marine Species	281934
Osmeridae	scientific	Osmeridae	World Register of Marine Species	125513
Parophrys vetulus	scientific	Parophrys vetulus	World Register of Marine Species	254393
Percina macrolepida	scientific	Percina macrolepida	ITIS	168487
Petromyzontiformes	scientific	Petromyzontiformes	World Register of Marine Species	10201
Pimephales promelas	scientific	Pimephales promelas	ITIS	163517
Platichthys stellatus	scientific	Platichthys stellatus	World Register of Marine Species	154781
Pogonichthys macrolepidotus	scientific	Pogonichthys macrolepidotus	World Register of Marine Species	282310
Pomoxis annularis	scientific	Pomoxis annularis	ITIS	168166
Pomoxis nigromaculatus	scientific	Pomoxis nigromaculatus	ITIS	168167
Porichthys notatus	scientific	Porichthys notatus	World Register of Marine Species	275658
Ptychocheilus grandis	scientific	Ptychocheilus grandis	ITIS	163524
Sebastes auriculatus	scientific	Sebastes auriculatus	World Register of Marine Species	274773
Spirinchus thaleichthys	scientific	Spirinchus thaleichthys	World Register of Marine Species	282844
Stichaeidae	scientific	Stichaeidae	World Register of Marine Species	125566
Symphurus atricauda	scientific	Symphurus atricauda	World Register of Marine Species	305635
Syngnathus leptorhynchus	scientific	Syngnathus leptorhynchus	World Register of Marine Species	275226
Tridentiger	scientific	Tridentiger	World Register of Marine Species	271146
Tridentiger barbatus	scientific	Tridentiger barbatus	World Register of Marine Species	283044
Tridentiger bifasciatus	scientific	Tridentiger bifasciatus	World Register of Marine Species	283045
Tridentiger trigonocephalus	scientific	Tridentiger trigonocephalus	World Register of Marine Species	283049
UnID	scientific	UnID	NA	NA
Acipenser medirostris	scientific	Acipenser medirostris	World Register of Marine Species	271695
Allosmerus elongatus	scientific	Allosmerus elongatus	World Register of Marine Species	279564
Alopias vulpinus	scientific	Alopias vulpinus	World Register of Marine Species	105836
Alosinae	scientific	Alosinae	ITIS	551155
Ammodytes hexapterus	scientific	Ammodytes hexapterus	World Register of Marine Species	254510
Amphistichus argenteus	scientific	Amphistichus argenteus	World Register of Marine Species	279594
Amphistichus koelzi	scientific	Amphistichus koelzi	World Register of Marine Species	279595
Amphistichus rhodoterus	scientific	Amphistichus rhodoterus	World Register of Marine Species	279596
Artedius fenestralis	scientific	Artedius fenestralis	World Register of Marine Species	279700
Artedius harringtoni	scientific	Artedius harringtoni	World Register of Marine Species	279701
Artedius notospilotus	scientific	Artedius notospilotus	World Register of Marine Species	279703
Atractoscion nobilis	scientific	Atractoscion nobilis	World Register of Marine Species	278535
Aulorhynchus flavidus	scientific	Aulorhynchus flavidus	World Register of Marine Species	279839
Bathymasteridae	scientific	Bathymasteridae	World Register of Marine Species	151388
Chilara taylori	scientific	Chilara taylori	World Register of Marine Species	280146
Citharichthys	scientific	Citharichthys	World Register of Marine Species	158786
Citharichthys sordidus	scientific	Citharichthys sordidus	World Register of Marine Species	275694
Cololabis saira	scientific	Cololabis saira	World Register of Marine Species	280366
Embiotoca jacksoni	scientific	Embiotoca jacksoni	World Register of Marine Species	240746
Embiotoca lateralis	scientific	Embiotoca lateralis	World Register of Marine Species	240740
Embiotocidae	scientific	Embiotocidae	World Register of Marine Species	151386
Enophrys bison	scientific	Enophrys bison	World Register of Marine Species	275355
Hemilepidotus hemilepidotus	scientific	Hemilepidotus hemilepidotus	World Register of Marine Species	254521
Hemilepidotus spinosus	scientific	Hemilepidotus spinosus	World Register of Marine Species	279413
Hexagrammos decagrammus	scientific	Hexagrammos decagrammus	World Register of Marine Species	240732
Hyperprosopon anale	scientific	Hyperprosopon anale	World Register of Marine Species	281097
Hyperprosopon argenteum	scientific	Hyperprosopon argenteum	World Register of Marine Species	281098
Hyperprosopon ellipticum	scientific	Hyperprosopon ellipticum	World Register of Marine Species	281099
Hypomesus pretiosus	scientific	Hypomesus pretiosus	World Register of Marine Species	279422
Hypsoblennius jenkinsi	scientific	Hypsoblennius jenkinsi	World Register of Marine Species	276328
Hypsurus caryi	scientific	Hypsurus caryi	World Register of Marine Species	240717
Ictalurus furcatus	scientific	Ictalurus furcatus	World Register of Marine Species	275329
Inopsetta ischyra	scientific	Inopsetta ischyra	World Register of Marine Species	584348
Lampetra richardsoni	scientific	Lampetra richardsoni	ITIS	159707
Lepomis cyanellus	scientific	Lepomis cyanellus	ITIS	168132
Lepomis gibbosus	scientific	Lepomis gibbosus	World Register of Marine Species	151290
Leuresthes tenuis	scientific	Leuresthes tenuis	World Register of Marine Species	281344
Liparis	scientific	Liparis	World Register of Marine Species	126160
Liparis fucensis	scientific	Liparis fucensis	World Register of Marine Species	274515
Liparis pulchellus	scientific	Liparis pulchellus	World Register of Marine Species	274533
Lumpenus sagitta	scientific	Lumpenus sagitta	World Register of Marine Species	254579
Medialuna californiensis	scientific	Medialuna californiensis	World Register of Marine Species	281541
Microgadus proximus	scientific	Microgadus proximus	World Register of Marine Species	275873
Micrometrus minimus	scientific	Micrometrus minimus	World Register of Marine Species	281562
Microstomus pacificus	scientific	Microstomus pacificus	World Register of Marine Species	274294
Mustelus henlei	scientific	Mustelus henlei	World Register of Marine Species	271386
Myliobatis californica	scientific	Myliobatis californica	World Register of Marine Species	271485
Mylopharodon conocephalus	scientific	Mylopharodon conocephalus	ITIS	163587
Neoclinus uninotatus	scientific	Neoclinus uninotatus	World Register of Marine Species	281687
Notorynchus cepedianus	scientific	Notorynchus cepedianus	World Register of Marine Species	217628
Odontopyxis trispinosa	scientific	Odontopyxis trispinosa	World Register of Marine Species	281836
Oncorhynchus kisutch	scientific	Oncorhynchus kisutch	World Register of Marine Species	127184
Oncorhynchus mykiss	scientific	Oncorhynchus mykiss	World Register of Marine Species	127185
Ophichthus zophochir	scientific	Ophichthus zophochir	World Register of Marine Species	271991
Ophiodon elongatus	scientific	Ophiodon elongatus	World Register of Marine Species	240745
Paralichthys californicus	scientific	Paralichthys californicus	World Register of Marine Species	275809
Peprilus simillimus	scientific	Peprilus simillimus	World Register of Marine Species	276563
Phanerodon furcatus	scientific	Phanerodon furcatus	World Register of Marine Species	240730
Pholis ornata	scientific	Pholis ornata	World Register of Marine Species	273692
Pisces	scientific	Pisces	World Register of Marine Species	11676
Platyrhinoidis triseriata	scientific	Platyrhinoidis triseriata	World Register of Marine Species	282280
Pleuronectidae	scientific	Pleuronectidae	World Register of Marine Species	125579
Pleuronectiformes	scientific	Pleuronectiformes	World Register of Marine Species	10331
Pleuronichthys coenosus	scientific	Pleuronichthys coenosus	World Register of Marine Species	282290
Pleuronichthys decurrens	scientific	Pleuronichthys decurrens	World Register of Marine Species	282292
Pleuronichthys guttulatus	scientific	Pleuronichthys guttulatus	World Register of Marine Species	293680
Pleuronichthys verticalis	scientific	Pleuronichthys verticalis	World Register of Marine Species	282295
Psettichthys melanostictus	scientific	Psettichthys melanostictus	World Register of Marine Species	282396
Raja binoculata	scientific	Raja binoculata	World Register of Marine Species	271572
Rathbunella hypoplecta	scientific	Rathbunella hypoplecta	World Register of Marine Species	282556
Rhacochilus toxotes	scientific	Rhacochilus toxotes	World Register of Marine Species	282575
Rhacochilus vacca	scientific	Rhacochilus vacca	World Register of Marine Species	282576
Rhinobatos productus	scientific	Rhinobatos productus	World Register of Marine Species	271608
Sarda chiliensis	scientific	Sarda chiliensis	World Register of Marine Species	293729
